,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
CRESS_ID,Cl,V,Cr,Ni,Cu,Zn,Ga,As,Se,Br,Rb,Sr,Y,Nb,Mo,Ag,Cd,In,Sb,Cs,Ba,La,Ce,Pb,Th,U
CRESS_Soil1,215,272,297,40.9,41.7,147,22.3,34.2,ND,22.1,233,44.2,21.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,64.5,18.8,< 8.86
CRESS_Soil2,120,220,< 10.345,29.3,39.4,136,44.4,< 4.23,ND,ND,104,781,27.9,22.8,ND,ND,ND,ND,ND,ND,828,ND,ND,34.8,ND,ND
CRESS_Soil3,74.3,417,102,54.2,65.4,152,30.1,29.1,ND,8.07,164,176,62.9,40.6,ND,ND,ND,ND,ND,ND,711,ND,ND,58.3,28.3,< 8.56
CRESS_Soil4,130,309,112,62.6,91.9,136,45.7,6.2,ND,11.9,373,147,75.9,42.2,ND,ND,ND,ND,ND,ND,998,ND,< 76.6,45.6,42.6,< 7.11
CRESS_Soil5,84.6,519,302,107,96.5,152,41.3,31.1,ND,7.3,139,511,63.1,32.2,ND,ND,ND,ND,ND,ND,1275,ND,ND,33.3,26,ND
CRESS_Soil6,86.2,298,61.3,43.2,70.3,145,22.7,15.7,4.7,15.1,124,172,76.4,44.1,ND,ND,ND,ND,ND,ND,531,ND,ND,77.8,27.2,< 7.84
CRESS_Soil7,64.4,171,25.4,37.6,228,123,33.7,9.76,ND,13.7,257,487,53.5,27.1,ND,ND,ND,ND,ND,ND,933,ND,ND,53.8,26.2,< 9.53
CRESS_Mud1,1205,2555,1090,593,174,447,108,71.8,7,11.3,ND,397,573,287,ND,ND,47.6,ND,ND,ND,ND,353,321,125,204,ND
CRESS_Mud2,242,2980,2470,1750,402,1245,38,83,ND,ND,ND,981,1525,391,ND,ND,157,ND,ND,ND,266,1170,1080,415,309,ND
CRESS_Mud3,125,3080,2450,1640,381,1155,39.7,96.4,ND,ND,ND,995,1490,421,ND,ND,128,ND,ND,ND,253,1220,1140,435,329,ND
