,Li,Mg,Al,Si,K,Ca,Sc,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Y,Mo,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Sample Name,(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb)
CRESS Soil 1 ,61.319,22214.567,42152.012,902407.013,69530.301,3341.004,19.043,771.47,294.608,270860.91,8.455,46.742,66.675,250.69,56.643,7.878,11.795,227.026,4.49,357.128,1.532,6.49,0.961,0.345,1.822,0.229,1.747,0.286,0.857,0.178,0.94,0.149
CRESS Soil 1 ,71.611,25284.751,45964.743,866086.058,77521.164,4096.995,19.753,849.613,249.286,297066.354,9.144,61.701,70.01,259.557,61.743,5.172,14.398,192.417,4.424,40.591,1.326,4.914,1.346,0.288,0.932,0.173,1.066,0.269,0.825,0.138,0.891,0.086
CRESS Soil 2,14.727,5955.305,86512.636,844009.907,31027.836,52689.526,14.129,42.358,1344.113,67548.099,22.197,27.219,56.469,224.853,601.678,5.854,3.772,1120.612,3.213,15.187,1.057,6.232,1.424,0.819,1.921,0.326,1.516,0.323,1.107,0.161,1.017,0.056
CRESS Soil 2,60.195,7304.649,113677.381,795657.078,29853.099,70723.388,13.353,41.633,1331.823,75034.72,21.955,21.132,71.621,238.541,751.18,6.51,1.21,1213.413,4.171,14.845,1.708,6.604,2.811,1.193,2.756,0.319,1.989,0.39,1.219,0.149,1.098,0.106
CRESS Soil 3,159.704,1274.165,42732.735,830004.838,42032.311,9723.505,12.744,228.145,2610.113,103195.942,42.368,77.178,113.139,263.46,199.64,3.287,6.277,1221.053,1.316,5.614,0.306,1.181,0.738,0.2,0.76,0.135,1.198,0.296,0.901,0.135,1.136,0.143
CRESS Soil 3,130.623,1057.31,41035.592,851811.213,42181.177,10285.74,17.829,232.875,2815.006,108855.848,42.234,76.638,124.183,264.621,198.558,4.695,10.34,1232.79,1.119,5.733,0.332,0.81,0.309,0.144,0.504,0.198,1.301,0.229,0.839,0.14,0.993,0.15
CRESS Soil 4,86.405,3063.62,65242.122,861012.798,63541.664,11676.104,15.999,240.11,1817.684,166944.236,56.927,103.257,150.386,270.709,123.927,4.412,2.335,1428.87,1.323,5.535,0.56,2.294,0.725,0.197,0.881,0.215,1.318,0.314,0.952,0.135,1.324,0.187
CRESS Soil 4,54.553,1304.817,52558.946,768946.187,70241.119,13881.836,15.44,253.158,2307.915,163287.216,44.378,93.964,209.13,247.985,132.86,6.366,3.642,1358.242,1.549,7.533,0.545,1.993,0.966,0.134,1.4,0.304,1.934,0.434,1.496,0.324,2.253,0.29
CRESS Soil 5,58.244,14589.669,100263.008,763544.619,22037.963,81298.51,47.456,588.057,2015.376,140995.763,54.147,180.025,150.771,248.196,636.792,44.647,2.317,1684.596,20.991,60.995,8.283,33.161,9.278,2.555,9.893,1.548,8.628,1.737,5.132,0.787,4.924,0.602
CRESS Soil 5,94.127,18265.576,126624.895,815598.006,22825.364,100715.773,46.496,815.233,2190.304,176629.617,70.856,223.455,193.788,308.518,793.29,51.094,4.216,1952.439,26.305,84.835,10.351,38.809,10.582,3.412,10.92,1.882,9.655,2.046,6.443,1.078,6.65,0.856
CRESS Soil 6,85.214,818.454,38706.397,905737.161,25589.934,13796.513,13.22,182.175,2297.041,68463.099,26.598,74.461,124.355,273.942,190.259,15.631,5.603,1069.995,4.116,13.543,1.772,7.366,2.623,0.481,3.068,0.562,4.037,0.907,2.819,0.442,3.191,0.72
CRESS Soil 6,68.848,897.744,38961.139,961606.238,30230.251,14420.976,16.482,192.448,2424.432,65428.495,33.731,83.347,116.048,265.204,188.615,12.741,6.207,1024.015,3.135,11.173,1.387,5.662,1.83,0.699,3.092,0.55,3.166,0.72,2.571,0.488,3.399,0.622
CRESS Soil 7,52.103,26289.212,78586.017,726442.362,103711.17,202024.346,12.555,119.439,2234.886,79009.34,24.79,60.96,495.199,267.599,636.429,24.088,8.756,1581.587,40.016,97.979,9.121,34.3,6.568,1.565,5.578,0.971,5.849,1.152,3.139,0.442,2.8,0.314
CRESS Soil 7,51.531,27048.105,81958.495,778792.223,117249.35,236391.769,14.415,128.771,3103.677,88231.513,39.421,65.649,516.185,274.676,754.933,29.58,11.93,1827.865,43.535,103.59,9.671,38.533,7.301,1.703,7.065,1.038,6.629,1.38,3.442,0.524,3.075,0.422
CRESS Mud 1,22.727,894.428,80589.165,234828.206,<266.740,67652.578,101.933,3210.055,14645.764,1163998.145,186.771,1621.9,433.809,979.135,306.36,318.498,15.443,122.623,25.014,65.989,11.302,53.335,21.463,6.491,34.887,6.888,48.266,11.057,34.027,4.616,31.147,4.29
CRESS Mud 1,4.345,822.95,80058.825,220410.069,<266.740,70553.625,114.511,3480.107,14880.008,1241858.332,201.654,1726.102,427.094,1020.012,339.237,342.304,16.825,138.856,32.114,80.124,13.1,59.174,22.563,6.833,36.842,7.068,49.422,11.245,35.162,5.002,32.705,4.808
