,Li,Al,Si,Sc,Cr,Mn,Fe,Co ,Ni,Cu,Zn,Sr,Y,Mo,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Sample Name,(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb)
Blank_G,6.001,<30,<70,<1.4,<1.8,3.084,18.721,<0.085,4.539,6.412,12.873,0.981,0.033,0.382,2.627,0.01,0.046,0.001,0,0,0.004,0,0.002,0,0.003,<0.012,0,0,0.002
CRESS_004G_AMD,<25,<155,588.057,<6.8,<9,1294.301,46.886,5.719,3.346,20.297,52.503,564.797,0.491,0.697,2589.853,0.406,0.657,0.061,0.4,0.043,0.119,0.065,0.004,0.054,0.013,<0.062,0.015,0.033,0.008
CRESS_007G_AMD,36.222,<155,562.739,<6.8,<9,5.175,<5.6,<0.423,<1.6,61.546,15.011,246.472,0.136,0.371,1757.519,0.145,0.067,0.027,0.036,0,0.021,0,0.004,0.018,0.004,<0.062,0,0,0
CRESS_010G_AMD,<25,<155,1092.826,<6.8,<9,844.026,55.754,1.636,1.852,24.023,18.447,680.204,0.492,2.465,938.318,0.39,0.963,0.15,0.778,0.085,0.021,0.087,0.017,0.111,0.017,<0.062,0.016,0.068,0.016
CRESS_013G_AMD,<25,201.406,989.232,<6.8,<9,70.199,85.497,5.572,44.445,30.711,20.904,847.599,0.69,<0.21,6406.712,0.791,0.997,0.109,0.48,0,0.086,0.109,0.013,0.056,0.039,0.087,0.004,0.1,0
CRESS_016G_AMD,<25,<155,<350,<6.8,<9,420.361,7.668,<0.425,8.58,36.496,94.303,292.525,0.245,<0.21,2750.78,0.408,0.21,0.047,0.183,0,0.085,0.086,0,0.018,0.017,<0.062,0,0.033,0.016
CRESS_019G_AMD,29.752,<155,1631.467,<6.8,<9,93.953,<5.6,<0.425,<1.6,76.523,11.657,326.132,0.085,1.704,565.264,0.007,0.024,0,0.038,0,0.011,0,0,0,0,<0.062,0,0,0
CRESS_125G_AMD,<25,<155,620.683,<6.8,867.688,20.247,109.809,0.651,8.21,293.172,21.954,276.379,0.393,7.482,2.4,0.022,0.111,0.007,0.071,0,0,0,0,0.018,0,<0.062,0.004,0.033,0
CRESS_126G_AMD,52.137,<155,1297.083,<6.8,1106.74,2.933,<5.6,<0.425,7.799,622.262,44.366,607.913,1.437,19.339,1.322,0.023,0.075,0.021,0.07,0,0,0,0.004,0.035,0.009,<0.062,0.015,0.115,0.008
CRESS_127G_AMD,70.023,<155,1164.01,<6.8,1248.894,2.159,<5.6,<0.425,7.189,583.842,35.59,726.951,1.181,14.851,2.553,0.015,0.071,0.013,0,0,0,0,0,0.018,0.017,<0.062,0.008,0.066,0.024
Blank_H,<5,<30,<70,<1.4,7.422,2.26,6.485,<0.085,15.049,5.068,11.681,1.555,0.024,1.033,8.002,0.006,0.004,0.001,0.014,0,0,0,0.001,0.004,0.001,<0.012,0.002,0,0
CRESS_004H_AMD,<25,<155,958.616,<6.8,14.541,93.765,55.141,<0.425,<1.6,24.841,11.175,43.979,0.755,1.985,289.599,0.37,0.904,0.112,0.501,0.154,0.031,0.229,0.023,0.034,0.026,<0.062,0.012,0.016,0.008
CRESS_007H_AMD,<25,<155,<350,<6.8,9.328,1.531,<5.6,<0.425,<1.6,30.676,11.407,19.747,0.142,3.441,302.701,0.222,0.074,0.051,0.305,0,0,0,0.012,0.051,0,<0.062,0,0.015,0
CRESS_010H_AMD,<25,<155,407.701,<6.8,<9,141.164,36.211,0.462,<1.6,29.789,13.323,76.941,0.447,3.408,207.972,0.469,1.042,0.177,0.611,0.237,0,0.162,0.016,0.051,0.02,0.066,0.004,0.046,0
