"CRESS_ID","analyte","ug_g","mg_g"
"CRESS_Mud1","Al",20081,20.08
"CRESS_Mud1","Ba",32.68,0.03
"CRESS_Mud1","Ca",17275.78,17.28
"CRESS_Mud1","Ce",18.26,0.02
"CRESS_Mud1","Co",48.55,0.05
"CRESS_Mud1","Cr",836.27,0.84
"CRESS_Mud1","Cu",107.61,0.11
"CRESS_Mud1","Dy",12.21,0.01
"CRESS_Mud1","Er",8.65,0.01
"CRESS_Mud1","Eu",1.67,0
"CRESS_Mud1","Fe",300732.06,300.73
"CRESS_Mud1","Gd",8.97,0.01
"CRESS_Mud1","Ho",2.79,0
"CRESS_Mud1","K",0,0
"CRESS_Mud1","La",7.14,0.01
"CRESS_Mud1","Li",3.38,0
"CRESS_Mud1","Lu",1.14,0
"CRESS_Mud1","Mg",214.67,0.21
"CRESS_Mud1","Mn",3690.72,3.69
"CRESS_Mud1","Mo",4.03,0
"CRESS_Mud1","Nd",14.06,0.01
"CRESS_Mud1","Ni",418.5,0.42
"CRESS_Mud1","Pr",3.05,0
"CRESS_Mud1","Sc",27.06,0.03
"CRESS_Mud1","Si",56904.78,56.9
"CRESS_Mud1","Sm",5.5,0.01
"CRESS_Mud1","Sr",80.7,0.08
"CRESS_Mud1","Tb",1.74,0
"CRESS_Mud1","Tm",1.2,0
"CRESS_Mud1","Y",82.6,0.08
"CRESS_Mud1","Yb",7.98,0.01
"CRESS_Mud1","Zn",249.89,0.25
"CRESS_Mud2","Al",32331.6,32.33
"CRESS_Mud2","Ba",140.1,0.14
"CRESS_Mud2","Ca",39062.15,39.06
"CRESS_Mud2","Ce",175.68,0.18
"CRESS_Mud2","Co",139.07,0.14
"CRESS_Mud2","Cr",1735.63,1.74
"CRESS_Mud2","Cu",284.85,0.28
"CRESS_Mud2","Dy",29.67,0.03
"CRESS_Mud2","Er",15.85,0.02
"CRESS_Mud2","Eu",7.14,0.01
"CRESS_Mud2","Fe",348236.92,348.24
"CRESS_Mud2","Gd",35.03,0.04
"CRESS_Mud2","Ho",6.05,0.01
"CRESS_Mud2","K",0,0
"CRESS_Mud2","La",102.39,0.1
"CRESS_Mud2","Li",42.19,0.04
"CRESS_Mud2","Lu",1.11,0
"CRESS_Mud2","Mg",1869.97,1.87
"CRESS_Mud2","Mn",10356.97,10.36
"CRESS_Mud2","Mo",2.77,0
"CRESS_Mud2","Nd",130.38,0.13
"CRESS_Mud2","Ni",1290.55,1.29
"CRESS_Mud2","Pr",28.93,0.03
"CRESS_Mud2","Sc",118.7,0.12
"CRESS_Mud2","Si",32663.5,32.66
"CRESS_Mud2","Sm",29.27,0.03
"CRESS_Mud2","Sr",521.57,0.52
"CRESS_Mud2","Tb",4.85,0
"CRESS_Mud2","Tm",1.77,0
"CRESS_Mud2","Y",102.6,0.1
"CRESS_Mud2","Yb",9.79,0.01
"CRESS_Mud2","Zn",793.08,0.79
"CRESS_Mud3","Al",26550.39,26.55
"CRESS_Mud3","Ba",120.44,0.12
"CRESS_Mud3","Ca",38430.82,38.43
"CRESS_Mud3","Ce",155.47,0.16
"CRESS_Mud3","Co",141.16,0.14
"CRESS_Mud3","Cr",1530.36,1.53
"CRESS_Mud3","Cu",237.88,0.24
"CRESS_Mud3","Dy",28.19,0.03
"CRESS_Mud3","Er",15.25,0.02
"CRESS_Mud3","Eu",6.11,0.01
"CRESS_Mud3","Fe",339346.96,339.35
"CRESS_Mud3","Gd",31.05,0.03
"CRESS_Mud3","Ho",5.82,0.01
"CRESS_Mud3","K",0,0
"CRESS_Mud3","La",91.41,0.09
"CRESS_Mud3","Li",41.33,0.04
"CRESS_Mud3","Lu",1.21,0
"CRESS_Mud3","Mg",1807.05,1.81
"CRESS_Mud3","Mn",9565.76,9.57
"CRESS_Mud3","Mo",2.23,0
"CRESS_Mud3","Nd",119.13,0.12
"CRESS_Mud3","Ni",1183.46,1.18
"CRESS_Mud3","Pr",26.51,0.03
"CRESS_Mud3","Sc",105.05,0.11
"CRESS_Mud3","Si",30030.77,30.03
"CRESS_Mud3","Sm",25.7,0.03
"CRESS_Mud3","Sr",494.14,0.49
"CRESS_Mud3","Tb",4.47,0
"CRESS_Mud3","Tm",1.83,0
"CRESS_Mud3","Y",118.09,0.12
"CRESS_Mud3","Yb",10.15,0.01
"CRESS_Mud3","Zn",675.34,0.68
"CRESS_Soil1","Al",11014.59,11.01
"CRESS_Soil1","Ba",52.43,0.05
"CRESS_Soil1","Ca",929.75,0.93
"CRESS_Soil1","Ce",49.71,0.05
"CRESS_Soil1","Co",2.2,0
"CRESS_Soil1","Cr",202.64,0.2
"CRESS_Soil1","Cu",17.09,0.02
"CRESS_Soil1","Dy",0.35,0
"CRESS_Soil1","Er",0.21,0
"CRESS_Soil1","Eu",0.08,0
"CRESS_Soil1","Fe",70990.91,70.99
"CRESS_Soil1","Gd",0.34,0
"CRESS_Soil1","Ho",0.07,0
"CRESS_Soil1","K",18381.43,18.38
"CRESS_Soil1","La",1.11,0
"CRESS_Soil1","Li",16.62,0.02
"CRESS_Soil1","Lu",0.03,0
"CRESS_Soil1","Mg",5937.41,5.94
"CRESS_Soil1","Mn",67.99,0.07
"CRESS_Soil1","Mo",3.27,0
"CRESS_Soil1","Nd",1.43,0
"CRESS_Soil1","Ni",13.56,0.01
"CRESS_Soil1","Pr",0.36,0
"CRESS_Soil1","Sc",4.85,0
"CRESS_Soil1","Si",221061.63,221.06
"CRESS_Soil1","Sm",0.29,0
"CRESS_Soil1","Sr",14.8,0.01
"CRESS_Soil1","Tb",0.05,0
"CRESS_Soil1","Tm",0.04,0
"CRESS_Soil1","Y",1.63,0
"CRESS_Soil1","Yb",0.23,0
"CRESS_Soil1","Zn",63.78,0.06
"CRESS_Soil2","Al",25023.75,25.02
"CRESS_Soil2","Ba",291.75,0.29
"CRESS_Soil2","Ca",15426.61,15.43
"CRESS_Soil2","Ce",3.75,0
"CRESS_Soil2","Co",5.52,0.01
"CRESS_Soil2","Cr",10.5,0.01
"CRESS_Soil2","Cu",16.01,0.02
"CRESS_Soil2","Dy",0.44,0
"CRESS_Soil2","Er",0.29,0
"CRESS_Soil2","Eu",0.25,0
"CRESS_Soil2","Fe",17822.85,17.82
"CRESS_Soil2","Gd",0.58,0
"CRESS_Soil2","Ho",0.09,0
"CRESS_Soil2","K",7610.12,7.61
"CRESS_Soil2","La",0.92,0
"CRESS_Soil2","Li",9.37,0.01
"CRESS_Soil2","Lu",0.02,0
"CRESS_Soil2","Mg",1657.49,1.66
"CRESS_Soil2","Mn",334.49,0.33
"CRESS_Soil2","Mo",0.62,0
"CRESS_Soil2","Nd",1.6,0
"CRESS_Soil2","Ni",6.04,0.01
"CRESS_Soil2","Pr",0.35,0
"CRESS_Soil2","Sc",3.44,0
"CRESS_Soil2","Si",204958.37,204.96
"CRESS_Soil2","Sm",0.53,0
"CRESS_Soil2","Sr",169.11,0.17
"CRESS_Soil2","Tb",0.08,0
"CRESS_Soil2","Tm",0.04,0
"CRESS_Soil2","Y",1.55,0
"CRESS_Soil2","Yb",0.26,0
"CRESS_Soil2","Zn",57.92,0.06
"CRESS_Soil3","Al",10471.04,10.47
"CRESS_Soil3","Ba",306.73,0.31
"CRESS_Soil3","Ca",2501.16,2.5
"CRESS_Soil3","Ce",1.42,0
"CRESS_Soil3","Co",10.58,0.01
"CRESS_Soil3","Cr",57.63,0.06
"CRESS_Soil3","Cu",29.67,0.03
"CRESS_Soil3","Dy",0.31,0
"CRESS_Soil3","Er",0.22,0
"CRESS_Soil3","Eu",0.04,0
"CRESS_Soil3","Fe",26506.47,26.51
"CRESS_Soil3","Gd",0.16,0
"CRESS_Soil3","Ho",0.07,0
"CRESS_Soil3","K",10526.69,10.53
"CRESS_Soil3","La",0.3,0
"CRESS_Soil3","Li",36.29,0.04
"CRESS_Soil3","Lu",0.04,0
"CRESS_Soil3","Mg",291.43,0.29
"CRESS_Soil3","Mn",678.14,0.68
"CRESS_Soil3","Mo",2.08,0
"CRESS_Soil3","Nd",0.25,0
"CRESS_Soil3","Ni",19.23,0.02
"CRESS_Soil3","Pr",0.08,0
"CRESS_Soil3","Sc",3.82,0
"CRESS_Soil3","Si",210227.01,210.23
"CRESS_Soil3","Sm",0.13,0
"CRESS_Soil3","Sr",49.77,0.05
"CRESS_Soil3","Tb",0.04,0
"CRESS_Soil3","Tm",0.03,0
"CRESS_Soil3","Y",1,0
"CRESS_Soil3","Yb",0.27,0
"CRESS_Soil3","Zn",66.01,0.07
"CRESS_Soil4","Al",14725.13,14.73
"CRESS_Soil4","Ba",348.39,0.35
"CRESS_Soil4","Ca",3194.74,3.19
"CRESS_Soil4","Ce",1.63,0
"CRESS_Soil4","Co",12.66,0.01
"CRESS_Soil4","Cr",61.66,0.06
"CRESS_Soil4","Cu",44.94,0.04
"CRESS_Soil4","Dy",0.41,0
"CRESS_Soil4","Er",0.31,0
"CRESS_Soil4","Eu",0.04,0
"CRESS_Soil4","Fe",41278.93,41.28
"CRESS_Soil4","Gd",0.29,0
"CRESS_Soil4","Ho",0.09,0
"CRESS_Soil4","K",16722.85,16.72
"CRESS_Soil4","La",0.36,0
"CRESS_Soil4","Li",17.62,0.02
"CRESS_Soil4","Lu",0.06,0
"CRESS_Soil4","Mg",546.05,0.55
"CRESS_Soil4","Mn",515.7,0.52
"CRESS_Soil4","Mo",0.75,0
"CRESS_Soil4","Nd",0.54,0
"CRESS_Soil4","Ni",24.65,0.02
"CRESS_Soil4","Pr",0.14,0
"CRESS_Soil4","Sc",3.93,0
"CRESS_Soil4","Si",203744.87,203.74
"CRESS_Soil4","Sm",0.21,0
"CRESS_Soil4","Sr",32.1,0.03
"CRESS_Soil4","Tb",0.06,0
"CRESS_Soil4","Tm",0.06,0
"CRESS_Soil4","Y",1.35,0
"CRESS_Soil4","Yb",0.45,0
"CRESS_Soil4","Zn",64.84,0.06
"CRESS_Soil5","Al",28360.99,28.36
"CRESS_Soil5","Ba",454.63,0.45
"CRESS_Soil5","Ca",22751.79,22.75
"CRESS_Soil5","Ce",18.23,0.02
"CRESS_Soil5","Co",15.63,0.02
"CRESS_Soil5","Cr",175.41,0.18
"CRESS_Soil5","Cu",43.07,0.04
"CRESS_Soil5","Dy",2.29,0
"CRESS_Soil5","Er",1.45,0
"CRESS_Soil5","Eu",0.75,0
"CRESS_Soil5","Fe",39703.17,39.7
"CRESS_Soil5","Gd",2.6,0
"CRESS_Soil5","Ho",0.47,0
"CRESS_Soil5","K",5607.92,5.61
"CRESS_Soil5","La",5.91,0.01
"CRESS_Soil5","Li",19.05,0.02
"CRESS_Soil5","Lu",0.18,0
"CRESS_Soil5","Mg",4106.91,4.11
"CRESS_Soil5","Mn",525.71,0.53
"CRESS_Soil5","Mo",0.82,0
"CRESS_Soil5","Nd",9,0.01
"CRESS_Soil5","Ni",50.44,0.05
"CRESS_Soil5","Pr",2.33,0
"CRESS_Soil5","Sc",11.74,0.01
"CRESS_Soil5","Si",197392.83,197.39
"CRESS_Soil5","Sm",2.48,0
"CRESS_Soil5","Sr",178.76,0.18
"CRESS_Soil5","Tb",0.43,0
"CRESS_Soil5","Tm",0.23,0
"CRESS_Soil5","Y",11.97,0.01
"CRESS_Soil5","Yb",1.45,0
"CRESS_Soil5","Zn",69.59,0.07
"CRESS_Soil6","Al",9708.44,9.71
"CRESS_Soil6","Ba",261.75,0.26
"CRESS_Soil6","Ca",3527.19,3.53
"CRESS_Soil6","Ce",3.09,0
"CRESS_Soil6","Co",7.54,0.01
"CRESS_Soil6","Cr",46.83,0.05
"CRESS_Soil6","Cu",30.05,0.03
"CRESS_Soil6","Dy",0.9,0
"CRESS_Soil6","Er",0.67,0
