"sample_ID","sample_name","analyte","group","extraction_sequence","extract_code","extract","fraction","ppb_blank_corr","ug_g","mg_g"
"CRESS_001","GCREW-A","Tm","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_001","GCREW-A","Yb","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_001","GCREW-A","Lu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_001","GCREW-A","Sc",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_001","GCREW-A","Cr",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_001","GCREW-A","Y",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_001","GCREW-A","Mo",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Li","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.22,0.05,0
"CRESS_002","GCREW-A","Mg","cations","Soil Sequence","B","B: water","B: water-extractable",24.56,0.49,0
"CRESS_002","GCREW-A","Al","cations","Soil Sequence","B","B: water","B: water-extractable",186.58,3.73,0
"CRESS_002","GCREW-A","Si","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",423.28,8.47,0.01
"CRESS_002","GCREW-A","K","cations","Soil Sequence","B","B: water","B: water-extractable",1420.12,28.5,0.03
"CRESS_002","GCREW-A","Ca","cations","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Mn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.13,0,0
"CRESS_002","GCREW-A","Fe","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",442.12,8.84,0.01
"CRESS_002","GCREW-A","Co","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.13,0,0
"CRESS_002","GCREW-A","Ni","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.28,0.01,0
"CRESS_002","GCREW-A","Cu","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.12,0.02,0
"CRESS_002","GCREW-A","Zn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0,0.03,0
"CRESS_002","GCREW-A","Sr","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.25,0.01,0
"CRESS_002","GCREW-A","Ba","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.2,0,0
"CRESS_002","GCREW-A","La","REEs","Soil Sequence","B","B: water","B: water-extractable",0.3,0.01,0
"CRESS_002","GCREW-A","Ce","REEs","Soil Sequence","B","B: water","B: water-extractable",0.95,0.02,0
"CRESS_002","GCREW-A","Pr","REEs","Soil Sequence","B","B: water","B: water-extractable",0.07,0,0
"CRESS_002","GCREW-A","Nd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.33,0.01,0
"CRESS_002","GCREW-A","Sm","REEs","Soil Sequence","B","B: water","B: water-extractable",0.05,0,0
"CRESS_002","GCREW-A","Eu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Gd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.06,0,0
"CRESS_002","GCREW-A","Tb","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Dy","REEs","Soil Sequence","B","B: water","B: water-extractable",0.04,0,0
"CRESS_002","GCREW-A","Ho","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Er","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Tm","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Yb","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Lu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Sc",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Cr",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Y",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_002","GCREW-A","Mo",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Li","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.12,0.02,0
"CRESS_003","GCREW-A","Mg","cations","Soil Sequence","B","B: water","B: water-extractable",26.76,0.54,0
"CRESS_003","GCREW-A","Al","cations","Soil Sequence","B","B: water","B: water-extractable",194.77,3.9,0
"CRESS_003","GCREW-A","Si","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",492.02,9.84,0.01
"CRESS_003","GCREW-A","K","cations","Soil Sequence","B","B: water","B: water-extractable",1388.96,27.88,0.03
"CRESS_003","GCREW-A","Ca","cations","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Mn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.13,0,0
"CRESS_003","GCREW-A","Fe","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",459.92,9.2,0.01
"CRESS_003","GCREW-A","Co","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.12,0,0
"CRESS_003","GCREW-A","Ni","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.29,0.01,0
"CRESS_003","GCREW-A","Cu","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.14,0.02,0
"CRESS_003","GCREW-A","Zn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0,0.03,0
"CRESS_003","GCREW-A","Sr","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.3,0.01,0
"CRESS_003","GCREW-A","Ba","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.23,0,0
