"CRESS_ID","analyte","XRF_ugg"
"CRESS_Soil1","Cl",215
"CRESS_Soil1","V",272
"CRESS_Soil1","Cr",297
"CRESS_Soil1","Ni",40.9
"CRESS_Soil1","Cu",41.7
"CRESS_Soil1","Zn",147
"CRESS_Soil1","Ga",22.3
"CRESS_Soil1","As",34.2
"CRESS_Soil1","Se",0
"CRESS_Soil1","Br",22.1
"CRESS_Soil1","Rb",233
"CRESS_Soil1","Sr",44.2
"CRESS_Soil1","Y",21.6
"CRESS_Soil1","Nb",0
"CRESS_Soil1","Mo",0
"CRESS_Soil1","Ag",0
"CRESS_Soil1","Cd",0
"CRESS_Soil1","In",0
"CRESS_Soil1","Sb",0
"CRESS_Soil1","Cs",0
"CRESS_Soil1","Ba",0
"CRESS_Soil1","La",0
"CRESS_Soil1","Ce",0
"CRESS_Soil1","Pb",64.5
"CRESS_Soil1","Th",18.8
"CRESS_Soil1","U",0
"CRESS_Soil2","Cl",120
"CRESS_Soil2","V",220
"CRESS_Soil2","Cr",0
"CRESS_Soil2","Ni",29.3
"CRESS_Soil2","Cu",39.4
"CRESS_Soil2","Zn",136
"CRESS_Soil2","Ga",44.4
"CRESS_Soil2","As",0
"CRESS_Soil2","Se",0
"CRESS_Soil2","Br",0
"CRESS_Soil2","Rb",104
"CRESS_Soil2","Sr",781
"CRESS_Soil2","Y",27.9
"CRESS_Soil2","Nb",22.8
"CRESS_Soil2","Mo",0
"CRESS_Soil2","Ag",0
"CRESS_Soil2","Cd",0
"CRESS_Soil2","In",0
"CRESS_Soil2","Sb",0
"CRESS_Soil2","Cs",0
"CRESS_Soil2","Ba",828
"CRESS_Soil2","La",0
"CRESS_Soil2","Ce",0
"CRESS_Soil2","Pb",34.8
"CRESS_Soil2","Th",0
"CRESS_Soil2","U",0
"CRESS_Soil3","Cl",74.3
"CRESS_Soil3","V",417
"CRESS_Soil3","Cr",102
"CRESS_Soil3","Ni",54.2
"CRESS_Soil3","Cu",65.4
"CRESS_Soil3","Zn",152
"CRESS_Soil3","Ga",30.1
"CRESS_Soil3","As",29.1
"CRESS_Soil3","Se",0
"CRESS_Soil3","Br",8.07
"CRESS_Soil3","Rb",164
"CRESS_Soil3","Sr",176
"CRESS_Soil3","Y",62.9
"CRESS_Soil3","Nb",40.6
"CRESS_Soil3","Mo",0
"CRESS_Soil3","Ag",0
"CRESS_Soil3","Cd",0
"CRESS_Soil3","In",0
"CRESS_Soil3","Sb",0
"CRESS_Soil3","Cs",0
"CRESS_Soil3","Ba",711
"CRESS_Soil3","La",0
"CRESS_Soil3","Ce",0
"CRESS_Soil3","Pb",58.3
"CRESS_Soil3","Th",28.3
"CRESS_Soil3","U",0
"CRESS_Soil4","Cl",130
"CRESS_Soil4","V",309
"CRESS_Soil4","Cr",112
"CRESS_Soil4","Ni",62.6
"CRESS_Soil4","Cu",91.9
"CRESS_Soil4","Zn",136
"CRESS_Soil4","Ga",45.7
"CRESS_Soil4","As",6.2
"CRESS_Soil4","Se",0
"CRESS_Soil4","Br",11.9
"CRESS_Soil4","Rb",373
"CRESS_Soil4","Sr",147
"CRESS_Soil4","Y",75.9
"CRESS_Soil4","Nb",42.2
"CRESS_Soil4","Mo",0
"CRESS_Soil4","Ag",0
"CRESS_Soil4","Cd",0
"CRESS_Soil4","In",0
"CRESS_Soil4","Sb",0
"CRESS_Soil4","Cs",0
"CRESS_Soil4","Ba",998
"CRESS_Soil4","La",0
"CRESS_Soil4","Ce",0
"CRESS_Soil4","Pb",45.6
"CRESS_Soil4","Th",42.6
"CRESS_Soil4","U",0
"CRESS_Soil5","Cl",84.6
"CRESS_Soil5","V",519
"CRESS_Soil5","Cr",302
"CRESS_Soil5","Ni",107
"CRESS_Soil5","Cu",96.5
"CRESS_Soil5","Zn",152
"CRESS_Soil5","Ga",41.3
"CRESS_Soil5","As",31.1
"CRESS_Soil5","Se",0
"CRESS_Soil5","Br",7.3
"CRESS_Soil5","Rb",139
"CRESS_Soil5","Sr",511
"CRESS_Soil5","Y",63.1
"CRESS_Soil5","Nb",32.2
"CRESS_Soil5","Mo",0
"CRESS_Soil5","Ag",0
"CRESS_Soil5","Cd",0
"CRESS_Soil5","In",0
"CRESS_Soil5","Sb",0
"CRESS_Soil5","Cs",0
"CRESS_Soil5","Ba",1275
"CRESS_Soil5","La",0
"CRESS_Soil5","Ce",0
"CRESS_Soil5","Pb",33.3
"CRESS_Soil5","Th",26
"CRESS_Soil5","U",0
"CRESS_Soil6","Cl",86.2
"CRESS_Soil6","V",298
"CRESS_Soil6","Cr",61.3
"CRESS_Soil6","Ni",43.2
"CRESS_Soil6","Cu",70.3
"CRESS_Soil6","Zn",145
"CRESS_Soil6","Ga",22.7
"CRESS_Soil6","As",15.7
"CRESS_Soil6","Se",4.7
"CRESS_Soil6","Br",15.1
"CRESS_Soil6","Rb",124
"CRESS_Soil6","Sr",172
"CRESS_Soil6","Y",76.4
"CRESS_Soil6","Nb",44.1
"CRESS_Soil6","Mo",0
"CRESS_Soil6","Ag",0
"CRESS_Soil6","Cd",0
"CRESS_Soil6","In",0
"CRESS_Soil6","Sb",0
"CRESS_Soil6","Cs",0
"CRESS_Soil6","Ba",531
"CRESS_Soil6","La",0
"CRESS_Soil6","Ce",0
"CRESS_Soil6","Pb",77.8
"CRESS_Soil6","Th",27.2
"CRESS_Soil6","U",0
"CRESS_Soil7","Cl",64.4
"CRESS_Soil7","V",171
"CRESS_Soil7","Cr",25.4
"CRESS_Soil7","Ni",37.6
"CRESS_Soil7","Cu",228
"CRESS_Soil7","Zn",123
"CRESS_Soil7","Ga",33.7
"CRESS_Soil7","As",9.76
"CRESS_Soil7","Se",0
"CRESS_Soil7","Br",13.7
"CRESS_Soil7","Rb",257
"CRESS_Soil7","Sr",487
"CRESS_Soil7","Y",53.5
"CRESS_Soil7","Nb",27.1
"CRESS_Soil7","Mo",0
"CRESS_Soil7","Ag",0
"CRESS_Soil7","Cd",0
"CRESS_Soil7","In",0
"CRESS_Soil7","Sb",0
"CRESS_Soil7","Cs",0
"CRESS_Soil7","Ba",933
"CRESS_Soil7","La",0
"CRESS_Soil7","Ce",0
