,Li,Mg,Al,Si,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,Sr,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Sample Name,(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb)
CRESS Blank Water ,1.077,0.194,<1,<5,5.077,<10,0.039,<0.1,<0.01,<0.01,0.005,1.704,0.005,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
CRESS_006E Pyrophosphate,<2,717.716,5747.538,10891.666,1040.288,190.239,207.243,10894.086,3.167,8.547,9.666,37.669,10.826,45.389,11.3,31.63,3.719,18.852,4.501,0.895,4.036,0.498,2.333,<0.2,1.04,<0.2,1.22,<0.2
CRESS_007E Pyrophosphate,<2,607.354,10211.242,7834.118,940.524,256.699,1565.122,29466.946,13.216,14.231,7.808,50.947,8.323,31.635,10.245,61.339,3.203,15.361,2.648,0.574,3.317,0.429,2.552,0.303,1.3,<0.2,1.414,<0.2
CRESS_008E Pyrophosphate,<2,456.917,6182.971,3425.55,824.352,195.625,871.475,18283.437,7.155,11.528,4.68,45.59,7.135,18.955,6.529,38.267,1.98,8.744,1.894,0.287,2.018,0.225,1.802,<0.2,0.659,<0.2,0.895,<0.2
CRESS_009E Pyrophosphate,<2,664.66,10119.644,8727.427,941.728,220.964,1551.741,29978.16,13.716,13.804,8.999,51.316,8.335,32.1,9.204,61.575,3.029,13.284,2.852,0.468,3.022,0.415,2.083,0.252,1.113,<0.2,1.175,<0.2
CRESS_010E Pyrophosphate,<2,985.219,7227.776,12796.207,1143.513,281.875,166.271,12208.607,3.106,9.589,14.173,42.982,14.142,32.526,27.287,81.006,7.596,30.9,6.964,1.485,6.176,0.965,4.451,0.617,1.884,<0.2,1.72,<0.2
CRESS_011E Pyrophosphate,<2,853.901,6145.564,8497.384,815.686,262.823,146.418,9866.37,2.349,9.658,13.387,37.437,9.622,21.586,17.568,51.87,4.957,18.86,4.234,0.672,3.71,0.535,2.608,0.283,1.091,<0.2,1.102,<0.2
CRESS_012E Pyrophosphate,<2,958.802,7025.128,11993.544,1106.281,279.922,218.148,11884.191,3.173,10.26,14.67,46.185,12.135,36.902,25.534,79.516,7.312,31.41,7.058,1.232,5.452,0.767,4.071,0.526,1.689,<0.2,1.733,<0.2
CRESS_013E Pyrophosphate,<2,3823.098,33213.933,72009.82,1331.445,397.005,1613.834,101813.476,39.964,65.594,138.165,92.846,24.387,202.49,29.951,88.684,10.848,47.64,12.411,2.282,10.98,1.189,6.646,0.781,2.876,0.26,2.979,<0.2
CRESS_014E Pyrophosphate,<2,3972.75,36653.433,97182.116,1470.5,436.311,1150.195,97433.805,31.183,72.55,133.234,99.72,21.347,196.528,29.939,85.21,11.008,48.055,12.477,2.214,10.184,1.235,6.61,0.953,3,0.219,2.717,<0.2
CRESS_015E Pyrophosphate,<2,3567.267,33290.6,88558.804,1593.773,379.263,1079.626,92668.084,24.798,65.935,121.331,90.297,20.508,183.815,29.014,80.498,10.346,45.23,12.115,2.063,9.328,1.046,5.988,0.87,2.598,0.204,2.583,<0.2
CRESS_016E Pyrophosphate,<2,853.312,9595.756,9870.181,454.826,344.373,3500.237,57777.7,19.978,15.343,35.522,82.079,9.535,101.328,66.002,291.375,23.508,102.184,25.539,5.569,23.06,2.699,15.007,2.55,6.594,0.738,5.358,<0.2
CRESS_017E Pyrophosphate,<2,833.677,9614.579,9031.288,488.261,418.497,4105.082,58102.729,21.821,15.958,39.033,97.9,9.529,101.357,69.798,304.744,24.273,106.487,26.32,5.725,23.945,2.9,15.718,2.438,7.106,0.745,5.855,<0.2
CRESS_018E Pyrophosphate,<2,794.102,9032.462,9206.842,360.293,361.089,4472.879,57943.414,25.704,17.277,34.548,93.032,8.272,116.348,68.257,313.349,24.357,101.29,26.437,5.456,24.513,2.752,14.684,2.272,6.329,0.736,5.84,<0.2
CRESS_019E Pyrophosphate,<2,4094.872,7477.148,26810.374,1580.624,1547.63,583.166,5815.719,4.815,10.854,90.264,55.707,16.978,64.443,10.785,60.279,2.872,13.315,3.114,0.407,3.2,0.419,2.71,0.29,1.33,<0.2,1.529,<0.2
CRESS_020E Pyrophosphate,<2,4704.875,8017.811,27541.708,1394.236,1520.856,718.762,6016.137,5.526,9.878,98.389,51.399,18.248,86.137,12.781,69.921,3.884,16.973,4.443,0.639,4.437,0.626,3.227,0.475,1.576,<0.2,1.673,<0.2
CRESS_021E Pyrophosphate,<2,5241.147,8542.107,28984.479,1552.184,1870.166,831.456,6390.396,6.853,11.829,115.609,56.006,17.598,96.12,15.152,85.626,4.713,20.381,5.249,0.688,4.862,0.698,3.528,0.54,2.105,<0.2,2.371,<0.2
