,Li,Mg,Al,Si,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,Sr,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Sample Name,(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb)
CRESS Blank Water ,1.077,0.194,<1,<5,5.077,<10,0.039,<0.1,<0.01,<0.01,0.005,1.704,0.005,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
CRESS Blank HCl,10.838,6.085,34.756,<20,<100,111.808,<0.2,7.621,<0.2,<0.2,15.29,4.075,<0.2,4.361,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_001C HCl,<2,9623.839,43259.046,1768.694,11714.937,1538.396,74.879,89077.178,7.671,30.814,80.412,313.142,123.353,220.655,35.15,110.336,8.797,33.452,5.617,0.941,5.604,0.789,4.766,0.522,1.863,<0.2,1.041,<0.2
CRESS_002C HCl,15.967,9402.918,42105.267,1824.463,11112.892,1496.724,67.331,85451.939,7.109,30.458,78.9,317.168,117.696,207.007,33.912,105.579,8.131,31.849,5.467,1.048,5.674,0.71,4.326,0.551,1.884,<0.2,1.018,<0.2
CRESS_003C HCl,15.785,9981.689,45042.202,2012.225,12072.135,1508.955,73.17,92290.47,6.981,30.763,84.445,330.848,115.854,219.546,35.543,110.938,8.744,32.679,5.408,0.994,5.299,0.77,4.391,0.526,1.678,<0.2,1.071,<0.2
CRESS_004C HCl,<2,5145.54,12664.234,2908.823,10209.491,7161.536,2800.11,32442.322,29.859,13.01,73.008,120.146,543.219,2675.937,78.642,188.148,22.455,97.132,23.702,5.874,25.406,3.36,18.329,3.016,8.402,0.795,5.643,0.575
CRESS_005C HCl,11.734,4411.7,11326.892,2701.206,9132.173,6560.55,2433.423,29233.535,26.394,10.753,66.485,104.073,490.545,2346.098,67.948,164.559,19.616,83.557,20.27,5.046,22.05,2.77,16.97,2.687,6.953,0.634,4.87,0.398
CRESS_006C HCl,11.325,4642.081,12343.118,2607.253,9570.651,7198.411,2656.958,30415.79,28.429,12.061,65.113,109.147,549.384,2644.554,79.273,187.885,22.401,96.32,23.231,5.676,24.603,3.161,18.467,3.161,7.822,0.734,5.495,0.564
CRESS_007C HCl,6.282,11269.825,24918.157,5558.43,5631.29,8935.88,1881.253,21431.789,10.62,18.647,158.681,164.196,222.79,1730.441,155.497,280.229,42.135,168.27,37.8,7.985,37.081,4.864,28.348,4.974,13.311,1.431,9.742,1.14
CRESS_008C HCl,4.998,12568.558,27236.499,5789.149,6430.789,9872.999,1760.449,19415.184,9.645,17.579,149.781,146.462,235.512,1846.819,164.248,277.125,45.119,185.198,40.472,8.721,40.733,5.44,31.407,5.262,14.849,1.597,10.916,1.195
CRESS_009C HCl,7.07,11935.091,26188.294,5804.372,6109.272,9601.819,1884.133,22384.386,10.174,20.555,168.689,176.33,235.164,1850.877,162.975,297.561,44.004,175.678,37.686,8.547,38.84,5.199,30.392,5.322,13.882,1.613,10.692,1.124
CRESS_010C HCl,3.707,6914.74,12276.399,4256.659,9727.526,15346.746,2317.135,3356.912,36.91,26.397,252.31,150.899,655.016,1110.88,90.614,184.932,20.368,78.095,16.669,3.523,17.457,2.425,15.725,2.65,7.02,0.687,5.348,0.398
CRESS_011C HCl,7.022,6702.942,11533.324,4038.863,10108.359,14915.375,2195.019,3141.599,32.727,25.496,241.464,152.04,627.672,1054.282,83.548,173.391,19.389,71.562,15.127,3.119,16.183,2.295,14.1,2.361,6.897,0.633,4.917,0.43
CRESS_012C HCl,19.217,6719.441,11340.201,4121.177,9694.247,14629.741,2640.881,3198.96,42.535,27,244.446,151.439,629.206,1114.325,84.599,180.712,19.374,72.257,14.565,3.208,16.382,2.35,14.496,2.391,6.887,0.653,4.676,0.358
CRESS_013C HCl,5.358,26889.456,64316.708,29386.218,1270.357,21826.72,730.13,84927.391,32.774,160.116,443.327,183.485,877.167,6140.728,153.703,302.422,37.296,151.493,35.088,7.201,40.188,5.383,33.332,5.974,16.038,1.892,11.788,1.38
CRESS_014C HCl,40.085,30341.162,71488.289,35999.15,1441.702,23917.967,766.872,93459.43,35.395,178.484,499.542,213.246,959.447,6631.653,167.368,334.423,41.147,169.286,38.264,7.89,42.649,5.987,36.4,6.623,17.262,1.982,13.166,1.675
CRESS_015C HCl,10.279,27594.057,66340.855,31660.076,1207.712,22297.208,709.119,88442.014,32.977,165.962,448.415,187.767,889.345,6150.822,152.101,304.216,38.295,152.334,34.462,7.171,39.862,5.41,33.374,5.819,16.318,1.788,12.733,1.361
CRESS_016C HCl,28.388,15404.134,25472.808,3797.218,2440.961,16566.05,4432.686,22475.092,17.124,112.369,314.941,543.673,319.433,3238.016,253.595,258.238,54.733,200.988,43.914,10.018,51.149,7.187,44.108,7.92,20.867,2.491,15.066,1.799
CRESS_017C HCl,<2,14782.427,23874.684,3466.607,2612.659,15927.879,3935.124,20822.792,15.241,105.905,294.539,504.815,297.498,3056.643,240.245,239.107,52.511,191.646,41.48,9.7,49.927,6.622,39.981,7.442,20.089,2.318,14.39,1.61
CRESS_018C HCl,31.697,16188.95,26303.85,3913.83,2889.661,17210.786,4455.951,22449.265,16.948,116.154,326.206,573.068,325.211,3314.668,260.54,259.501,56.135,210.786,45.996,10.608,52.491,7.19,44.092,8.137,21.851,2.496,16.001,2.048
CRESS_019C HCl,26.781,43813.356,17620.925,11920.959,4311.947,598181.953,4466.456,3771.268,23.309,17.358,746.86,69.569,3114.136,893.12,158.155,255.291,40.397,159.805,36.911,7.711,37.716,5.081,33.584,6.218,18.016,2.167,14.97,1.929
