,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C
0,4,153.01943169071592,153.01934860415537,153.01933221933908,2812443.813328948,22.643383980729052,1304574.131902018,15.053068164762855,-1,0.10707677293877231,0.9979217743338827,0.0,0.5987530646003296,5.0,0.5714285714285714,0.8571428571428571,O4,de-protonated,,0.0,,C7 H6 O4,7.0,6.0,4.0,,,,
1,9,159.06638167261158,159.06629575982862,159.0662824127191,7175867.085218216,27.67189640001042,1045384.1968505854,38.636208289558,-1,0.08390910585923926,0.9987232830283356,0.0,0.5992339698170013,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,
2,20,163.04016679844992,163.0400790298602,163.04006766422907,1686139.6267502832,47.60130406778151,1320434.3381391193,8.966392776402223,-1,0.06971066254625853,0.9991186248724421,0.0,0.5994711749234652,6.0,0.3333333333333333,0.8888888888888888,O3,de-protonated,,0.0,,C9 H8 O3,9.0,8.0,3.0,,,,
3,33,167.03505349148725,167.03496385840353,167.03498228379908,1987347.9827661233,23.186119204738077,1088359.6791158626,10.897112388839199,-1,-0.11030860302728238,0.997794570122235,0.0,0.598676742073341,5.0,0.5,1.0,O4,de-protonated,,0.0,,C8 H8 O4,8.0,8.0,4.0,,,,
4,38,169.05072475187114,169.05063417847734,169.05063234825906,2484865.0861357814,83.29869017553438,1299054.3012485171,13.318692919692353,-1,0.01082645036878017,0.9999787322577359,0.0,0.5999872393546415,4.0,0.5,1.25,O4,de-protonated,,0.0,,C8 H10 O4,8.0,10.0,4.0,,,,
5,44,171.06638513644234,171.0662936230415,171.0662824127191,7174789.319172626,47.14214356251719,1082299.7421369478,38.46167996301002,-1,0.0655320397127356,0.9992210815250455,0.0,0.5995326489150273,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,
6,48,173.08202580406845,173.0819333509678,173.08193247717907,8660002.745031241,62.624118668786984,1072141.769990846,46.79540755567584,-1,0.005048411021782395,0.999995375527124,0.0,0.5999972253162744,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,
7,52,177.05580499004662,177.05571068522684,177.05571772868907,1839732.1038395448,57.15017457327686,1141427.6126411804,9.784494307095857,-1,-0.03978104928419782,0.9997128928920737,0.0,0.5998277357352442,6.0,0.3,1.0,O3,de-protonated,,0.0,,C10 H10 O3,10.0,10.0,3.0,,,,
8,53,179.03508244131476,179.03498721461463,179.03498228379908,3516559.2204654953,69.20387270429893,1033455.0792634058,18.979955512092296,-1,0.027541073184377953,0.9998623786984079,0.0,0.5999174272190447,6.0,0.4444444444444444,0.8888888888888888,O4,de-protonated,,0.0,,C9 H8 O4,9.0,8.0,4.0,,,,
9,54,179.07148169717652,179.07138645352552,179.07136779314908,3343540.5831628307,88.01202790159914,1104948.0293290303,18.281842205900396,-1,0.10420636571028344,0.9980315946217321,0.0,0.5988189567730392,5.0,0.3,1.2,O3,de-protonated,,0.0,,C10 H12 O3,10.0,12.0,3.0,,,,
10,56,181.01433997020055,181.01424382191666,181.01424683890906,7572216.6838076245,59.165884674000914,932897.8034656653,40.79599633058919,-1,-0.01666715436637804,0.9999495959076724,0.0,0.5999697575446035,6.0,0.625,0.75,O5,de-protonated,,0.0,,C8 H6 O5,8.0,6.0,5.0,,,,
11,57,181.05072261912298,181.0506264539013,181.05063234825906,2139950.6505257734,40.03598036116027,1120577.1307757017,11.606133715440347,-1,-0.03255640531836147,0.9998076974866831,0.0,0.5998846184920098,5.0,0.4444444444444444,1.1111111111111112,O4,de-protonated,,0.0,,C9 H10 O4,9.0,10.0,4.0,,,,
12,58,182.00960540666077,182.00950879506902,182.00949581110908,1502265.547031001,54.420242429596314,919891.8321977975,8.039211041616106,-1,0.07133671729722436,0.9990770470218724,0.0,0.5994462282131234,6.0,0.7142857142857143,0.7142857142857143,N1 O5,de-protonated,,0.0,,C7 H5 O5 N1,7.0,5.0,5.0,1.0,,,
13,60,183.03001023230556,183.0299131457787,183.0298969033691,1659156.5452497818,41.435675061242065,1144166.3136509776,9.064564960085459,-1,0.08874183876628634,0.998572091352709,0.0,0.5991432548116253,5.0,0.625,1.0,O5,de-protonated,,0.0,,C8 H8 O5,8.0,8.0,5.0,,,,
14,62,185.08203011420332,185.08193207281974,185.08193247717907,4352492.908034843,64.1553755006217,952307.9699311442,23.201359410471447,-1,-0.0021847585069749184,0.9999991339149973,0.0,0.5999994803489983,3.0,0.4444444444444444,1.5555555555555556,O4,de-protonated,,0.0,,C9 H14 O4,9.0,14.0,4.0,,,,
15,64,187.0613040327046,187.06120507060746,187.06119703228907,5010062.264805498,54.23603719872992,908764.1890003565,26.69192594143095,-1,0.04297159705903029,0.9996650005736373,0.0,0.5997990003441823,3.0,0.625,1.5,O5,de-protonated,,0.0,,C8 H12 O5,8.0,12.0,5.0,,,,
16,65,187.09768146569758,187.09758248668115,187.0975825416391,13475281.035369918,75.66805382947801,945529.5585513838,72.45107155822818,-1,-0.00029373950391194066,0.999999984344082,0.0,0.5999999906064492,2.0,0.4444444444444444,1.7777777777777777,O4,de-protonated,,0.0,,C9 H16 O4,9.0,16.0,4.0,,,,
17,69,189.07695646141514,189.07685656197725,189.07684709674908,2979793.3510474586,56.912353871672245,1095951.8304682607,15.909347766888859,-1,0.05006021794796136,0.9995453883467036,0.0,0.5997272330080221,2.0,0.625,1.75,O5,de-protonated,,0.0,,C8 H14 O5,8.0,14.0,5.0,,,,
18,75,193.0143268392776,193.0142251097002,193.01424683890906,1995858.847018995,82.13273420695624,955886.0733689155,10.67895198065423,-1,-0.11257826416263267,0.9977029859269997,0.0,0.5986217915561998,7.0,0.5555555555555556,0.6666666666666666,O5,de-protonated,,0.0,,C9 H6 O5,9.0,6.0,5.0,,,,
19,76,193.05072415457832,193.0506224080883,193.05063234825906,2047390.484277558,44.42717892867209,1124693.955366297,10.984376552113186,-1,-0.051489967420148,0.9995190558952171,0.0,0.5997114335371302,6.0,0.4,1.0,O4,de-protonated,,0.0,,C10 H10 O4,10.0,10.0,4.0,,,,
20,77,193.0871238279867,193.08702206458304,193.08701785760908,4441977.0349801555,42.90952218401107,903446.3952140134,23.67040428806913,-1,0.02178796897718535,0.9999138671890763,0.0,0.5999483203134457,5.0,0.2727272727272727,1.2727272727272727,O3,de-protonated,,0.0,,C11 H14 O3,11.0,14.0,3.0,,,,
21,81,195.02999777982706,195.02989511378038,195.0298969033691,4204050.436783149,45.83546919157517,978523.7110482187,22.61232630837203,-1,-0.009175971154929158,0.9999847224191718,0.0,0.5999908334515031,6.0,0.5555555555555556,0.8888888888888888,O5,de-protonated,,0.0,,C9 H8 O5,9.0,8.0,5.0,,,,
22,83,195.06638356778453,195.06628088483595,195.0662824127191,2402541.1843708865,39.33573854628941,1026367.6243957949,12.844194031890046,-1,-0.007832635777815221,0.9999888681518078,0.0,0.5999933208910846,5.0,0.4,1.2,O4,de-protonated,,0.0,,C10 H12 O4,10.0,12.0,4.0,,,,
23,88,197.0092753845851,197.00917179926722,197.00916145847907,3376935.681827354,16.846917571504797,954285.0554622147,18.06368179771543,-1,0.05248886942385621,0.9995002190289953,0.0,0.5997001314173972,6.0,0.75,0.75,O6,de-protonated,,0.0,,C8 H6 O6,8.0,6.0,6.0,,,,
24,89,197.0456576643573,197.04555406214442,197.04554696782907,2741175.9383292943,50.54535117794033,939587.3851735123,14.622201358597543,-1,0.036003428950591665,0.9997648253614407,0.0,0.5998588952168644,5.0,0.5555555555555556,1.1111111111111112,O5,de-protonated,,0.0,,C9 H10 O5,9.0,10.0,5.0,,,,
25,90,197.08204525510467,197.08194163599447,197.08193247717907,2391884.5980707984,55.436751337555165,958854.7344046272,12.735113827797562,-1,0.046472120944667676,0.9996082096583526,0.0,0.5997649257950115,4.0,0.4,1.4,O4,de-protonated,,0.0,,C10 H14 O4,10.0,14.0,4.0,,,,
26,93,198.0045440272312,198.00443997977152,198.0044104306791,2199243.8845535303,64.21606132938714,991185.970301597,11.993368439968666,-1,0.14923451637924534,0.9959671210211003,0.0,0.5975802726126601,6.0,0.8571428571428571,0.7142857142857143,N1 O6,de-protonated,,0.0,,C7 H5 O6 N1,7.0,5.0,6.0,1.0,,,
