datafile,hystarid,is_qc,is_srfa,count_shield,mean_shield,std_shield,min_shield,25%_shield,50%_shield,75%_shield,max_shield,count_capillary,mean_capillary,std_capillary,min_capillary,25%_capillary,50%_capillary,75%_capillary,max_capillary,IAT,isotope_delta_error_mean,isotope_delta_error_std,n_iso_used,n_missing_parents,organic_count,inorganic_count,organic_ratio,c13_count,cl37_count,c13_ratio,qc_assign_rms,qc_total_assign,qc_total_CHO,qc_pc_assign,qc_pc_CHO,qc_mass_median,qc_mass_skew,qc_mass_kurt,qc_SN_median,qc_wa_OC,qc_wa_HC,qc_wa_mz,qc_wa_AIMod,qc_wa_NOSC,tic,baseline_noise,baseline_noise_std,peaks,cal_points,cal_rms,raw_error_median,raw_error_stdev,original_masscalcoef_A,original_masscalcoef_B,original_masscalcoef_C,resolving_power_peaks_removed
CRESS_Set_2_05C_r1_22_1_31985.d,31985,False,False,828.0,90.53089141845703,2.149756908416748,76.93299865722656,90.06099700927734,90.68599700927734,91.31199645996094,96.31300354003906,829.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.01,-4.392498314587101e-05,6.729902915138667e-05,2,0,765,376,2.0345744680851063,29,206,0.1407766990291262,0.08382979617189228,566,516,48.12925170068027,43.87755102040816,351.09057539690934,0.7221930959081734,1.791842402354661,12.948129071278391,0.55097630677074,1.193995953884803,337.7345098673129,0.28864462140754915,-0.07617462979767199,434756963.6937712,420148.5943640327,194528.79919054714,1176,112.0,0.03719966825597184,0.7509183669837646,0.06287439597883833,215005950.77443844,-21.747780185561815,-11513.908532616591,35
CRESS_Set_2_06C_r2_23_1_32020.d,32020,False,False,829.0,93.18024444580078,2.103315591812134,79.43399810791016,92.56199645996094,93.18699645996094,94.43699645996094,98.81300354003906,830.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.01,-1.9377255284780404e-06,4.029907070241449e-05,9,0,1351,497,2.7183098591549295,73,250,0.292,0.08553393334466067,1043,865,55.86502410283878,46.33101231922871,383.0258534389569,0.5107906363274387,0.7897185591519751,14.038600240321127,0.5598376116664379,1.138048151310374,365.5581194863615,0.31599894492883474,0.006422266895012033,437078920.30707794,394562.8521623321,182682.60055115976,1861,197.0,0.039339825355997865,0.7507152845916105,0.06865049232337492,215005950.77443844,-21.747780185561815,-11513.908532616591,75
CRESS_Set_1_001C_r2_2_1_32061.d,32061,False,False,830.0,98.05792236328125,2.1711080074310303,87.56099700927734,96.93800354003906,98.18800354003906,99.43900299072266,103.81500244140625,831.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.01,-2.2615183297602925e-05,2.451696144617331e-05,2,0,1092,388,2.814432989690722,47,187,0.25133689839572193,0.08621717132387458,892,836,59.66555183946488,55.91973244147157,415.04158096813114,0.036539998912841834,-0.545917481040977,14.039052162534679,0.5882512869116183,1.06370316448975,407.9679334682871,0.33951876853677576,0.12343963683667969,437456962.97471297,423773.1708116869,196206.97808581105,1494,219.0,0.0482204719857337,0.8140708342342438,0.07242186034481567,215005950.77443844,-21.747780185561815,-11513.908532616591,42
CRESS_Set_2_07C_r2_24_1_32031.d,32031,False,False,828.0,87.12954711914062,2.7758164405822754,74.43199920654297,85.05999755859375,86.93599700927734,89.43599700927734,93.81199645996094,829.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.01,2.6406308732715743e-06,4.171494443661979e-05,108,0,1686,440,3.831818181818182,193,254,0.7598425196850394,0.08646842283482697,1316,1061,60.95414543770264,49.14312181565539,415.6483002437967,-0.08096753858559803,-0.2335459596541245,14.223574180975131,0.59411809356608,1.144894309219518,402.1728408728353,0.2756531955157407,0.06200970390668411,438946528.7515815,401190.80464732647,185751.34255171215,2150,235.0,0.04061480877218815,0.7644607514945378,0.06455617624907457,215005950.77443844,-21.747780185561815,-11513.908532616591,83
CRESS_Set_1_002C_r2_4_1_32058.d,32058,False,False,830.0,98.31629943847656,2.8145198822021484,86.30999755859375,96.93800354003906,98.18800354003906,100.06400299072266,109.44100189208984,831.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.01,-1.2789081424102733e-05,4.6984499346291336e-05,12,0,1320,387,3.4108527131782944,68,208,0.3269230769230769,0.08886925689209832,1067,987,61.676300578034684,57.052023121387286,423.16640817047227,0.131215636727783,-0.3468711256882795,14.348832851789611,0.5855302894458841,1.054752711158665,413.74803205617604,0.34491669190867874,0.12583293582588648,438111455.8766401,406455.0453545773,188188.6859991693,1724,254.0,0.043958248058159045,0.8263954583328296,0.06706259582814439,215005950.77443844,-21.747780185561815,-11513.908532616591,77
CRESS_Set_2_05C_r2_22_1_31990.d,31990,False,False,829.0,89.36967468261719,1.636812686920166,76.93299865722656,88.81099700927734,89.43599700927734,90.06099700927734,93.81199645996094,830.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.01,-3.3074031356201365e-06,3.249183518759788e-05,35,0,2011,594,3.3855218855218854,207,404,0.5123762376237624,0.08618305586786257,1394,1059,52.58393059222934,39.94718973972086,379.60138795293074,0.36396083641560023,0.4403362599523839,14.740404730712859,0.5486774494599131,1.197426591616556,357.6566869120539,0.285794728246674,-0.07056943261043927,442858383.25034004,421127.1960695167,194981.89178018624,2646,258.0,0.03373446854536798,0.7665562406913253,0.055306466634275395,215005950.77443844,-21.747780185561815,-11513.908532616591,103
CRESS_Set_2_07C_r1_24_1_31977.d,31977,False,False,828.0,93.36296081542969,2.3675832748413086,78.80899810791016,92.56199645996094,93.81199645996094,94.43699645996094,101.93900299072266,828.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.01,9.088223374093128e-07,3.9725523720623445e-05,156,0,2171,487,4.457905544147844,279,292,0.9554794520547946,0.08455761071400454,1651,1273,61.4668652271035,47.393894266567386,419.11978053496694,-0.16581656470009637,-0.308653717958423,15.018835078635252,0.5895702917624194,1.1516294282365094,401.49200097060736,0.27361798876082555,0.04932201258574689,442113724.02689576,413246.3968840282,191333.08175730507,2679,265.0,0.03697501835257479,0.7486982369369136,0.06401256852940194,215005950.77443844,-21.747780185561815,-11513.908532616591,109
CRESS_Set_1_001C_r1_2_1_32046.d,32046,False,False,827.0,97.1556396484375,1.647274374961853,85.05999755859375,96.31300354003906,97.56300354003906,98.18800354003906,103.81500244140625,827.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.01,4.060400986342453e-05,7.359422105719268e-05,6,0,1373,449,3.0579064587973273,67,235,0.2851063829787234,0.0844221437148595,1078,997,58.270270270270274,53.891891891891895,422.5329657630288,0.08700831324687693,-0.37051549851530874,14.845505052549107,0.5837746463980127,1.0810966069752401,410.54607986634664,0.331382874667342,0.0999702944388652,439415979.4413628,414905.49628764857,192101.2447811813,1847,255.0,0.04100065615211584,1.0098736917608382,0.05990146581411184,215005950.77443844,-21.747780185561815,-11513.908532616591,55
CRESS_Set_1_Blank_H2O_r1_8_1_32040.d,32040,False,False,830.0,92.64401245117188,1.6143995523452759,81.30899810791016,91.93699645996094,92.56199645996094,93.81199645996094,98.18800354003906,830.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.01,6.679689642125243e-06,2.8945448160269588e-05,31,0,1534,793,1.9344262295081966,234,608,0.3848684210526316,0.10428479461935154,703,390,29.291666666666664,16.25,385.2598930920573,0.5695534688232337,0.30995762392930715,13.939194257741512,0.42323017259910556,1.581554898012839,374.00956638494677,0.10070055066201486,-0.6764938599787462,441133273.56478304,410942.5005129841,190266.37773751165,2393,53.0,0.051250995945206136,1.0085981757847868,0.4786377858855746,215005950.77443844,-21.747780185561815,-11513.908532616591,121
CRESS_Set_2_06C_r1_23_1_31954.d,31954,False,False,830.0,93.23601531982422,2.6208202838897705,80.68399810791016,92.56199645996094,93.81199645996094,94.43699645996094,101.31400299072266,831.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.01,-4.832410280580731e-07,3.788936519594098e-05,186,0,3241,808,4.0111386138613865,498,546,0.9120879120879121,0.08601352838013596,2287,1619,56.04018622886547,39.671649105611365,401.1819511481338,0.07076804487955547,-0.3898382201876198,14.508043668634347,0.551575545470615,1.1638136562387038,377.29712932129075,0.2994022348106433,-0.02081599605400189,449262878.71811616,403900.1694325556,187005.77844727325,4072,333.0,0.03528705098958871,0.6604126607216904,0.057751600427444004,215005950.77443844,-21.747780185561815,-11513.908532616591,213
