,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,33S,34S
0,14,151.00385886555753,151.00369081938888,151.00368215487907,1834316.1362735217,32.315982248853906,1393952.059402607,9.64522773164094,-1,0.05737946044014353,0.9994027763042307,0.0,0.5996416657825384,6.0,0.5714285714285714,0.5714285714285714,O4,de-protonated,,0.0,,C7 H4 O4,7.0,4.0,4.0,,,,,,,
1,15,151.01512102491188,151.01495296287916,151.01491554416907,3516739.1195358946,24.734686365867773,1346371.5897251077,18.349457635804715,-1,0.24778155163198057,0.9889216532712031,0.0,0.5933529919627218,6.0,0.5,0.6666666666666666,N2 O3,de-protonated,,0.0,,C6 H4 O3 N2,6.0,4.0,3.0,2.0,,,,,,
2,19,151.0402506364478,151.0400825390169,151.04006766422907,9842871.311961118,37.697879683247265,1169081.769852238,51.583789997157304,-1,0.09848239653919798,0.9982417162647865,0.0,0.5989450297588719,5.0,0.375,1.0,O3,de-protonated,,0.0,,C8 H8 O3,8.0,8.0,3.0,,,,,,,
3,131,159.04535829655447,159.04517891108833,159.04515304465906,2113439.413620024,13.925802305729409,1296248.6791167618,11.12088341563922,-1,0.1626357595534774,0.995212110092713,0.0,0.5971272660556278,7.0,0.2,0.8,O2,de-protonated,,0.0,,C10 H8 O2,10.0,8.0,2.0,,,,,,,
4,159,161.06099929999453,161.06081706854272,161.06080310911906,2957099.357722163,32.87367926972909,1121484.2975564245,15.590623096155753,-1,0.08667176237091108,0.9986378870050717,0.0,0.599182732203043,6.0,0.2,1.0,O2,de-protonated,,0.0,,C10 H10 O2,10.0,10.0,2.0,,,,,,,
5,171,162.06749512048694,162.06731146735214,162.06728547060908,1986340.35221109,33.93295237078493,1331724.0166306773,10.436521359292191,-1,0.16040709873533043,0.9953421276401756,0.0,0.5972052765841054,6.0,0.125,1.125,N3 O1,de-protonated,,0.0,,C8 H9 O1 N3,8.0,9.0,1.0,3.0,,,,,,
6,235,167.1079300947112,167.10773931630743,167.10775330249908,1948496.2795190345,46.72757875711717,1043514.2772867723,10.24404453094459,-1,-0.0836956476896138,0.9987297663792013,0.0,0.5992378598275208,3.0,0.2,1.6,O2,de-protonated,,0.0,,C10 H16 O2,10.0,16.0,2.0,,,,,,,
7,244,168.030425510841,168.03023342736392,168.03023125599907,1839786.4006153147,39.09491475303096,1125129.332469626,9.613148260249671,-1,0.012922465432557753,0.9999697003224398,0.0,0.5999818201934639,5.0,0.5714285714285714,1.0,N1 O4,de-protonated,,0.0,,C7 H7 O4 N1,7.0,7.0,4.0,1.0,,,,,,
8,258,169.05084303306302,169.05064950561484,169.05063234825906,16786442.819269627,60.4885774029018,1034671.7185058396,89.65142938146079,-1,0.10149240820144811,0.9981326954843729,0.0,0.5988796172906237,4.0,0.5,1.25,O4,de-protonated,,0.0,,C8 H10 O4,8.0,10.0,4.0,,,,,,,
9,262,169.12361817870632,169.1234245482609,169.12340336695908,1585212.7542228205,25.36644250794545,1415352.708825307,8.228384411859981,-1,0.12524169577244196,0.9971579361634897,0.0,0.5982947616980938,2.0,0.2,1.8,O2,de-protonated,,0.0,,C10 H18 O2,10.0,18.0,2.0,,,,,,,
10,276,170.04608011432055,170.04588517816393,170.0458813204591,1801692.8689356977,39.211882633100956,1311703.9096734466,9.383245381945592,-1,0.02268625853121848,0.9999066188315249,0.0,0.5999439712989149,4.0,0.5714285714285714,1.2857142857142858,N1 O4,de-protonated,,0.0,,C7 H9 O4 N1,7.0,9.0,4.0,1.0,,,,,,
11,284,170.97593513619023,170.97573888354037,170.9757533292791,5406703.889000269,37.271166180110825,1041159.4538811444,28.2085485100541,-1,-0.0844899842953439,0.9987055566447081,0.0,0.5992233339868248,5.0,0.6666666666666666,0.6666666666666666,S1 O4,de-protonated,,0.0,,C6 H4 O4 S1,6.0,4.0,4.0,,,1.0,,,,
12,335,175.0167668047783,175.01656482739813,175.0165693144491,2003028.1057118375,75.07470902531522,1058940.5412992386,10.484640566379092,-1,-0.025637863832738996,0.9998807408791891,0.0,0.5999284445275135,3.0,0.6666666666666666,1.5,P1 O4,de-protonated,,0.0,,C6 H9 O4 P1,6.0,9.0,4.0,,1.0,,,,,
