,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,34S
0,4,151.00720758387928,151.0070804507641,151.0070534581991,1516086.4995780557,9.858946159585539,1725346.1595483236,7.957820491917141,-1,0.1787503589629901,0.9942191812807988,0.0,0.5965315087684793,1.0,1.0,2.0,S1 O4,de-protonated,,0.0,,C4 H8 O4 S1,4.0,8.0,4.0,,,1.0,,,,
1,5,151.04018443246628,151.0400572742006,151.04006766422907,2368646.8000500035,19.328933986343873,1279443.2812083056,12.36439592077466,-1,-0.06878988230835699,0.9991417446355327,0.0,0.5994850467813196,5.0,0.375,1.0,O3,de-protonated,,0.0,,C8 H8 O3,8.0,8.0,3.0,,,,,,,
2,34,159.06642385580244,159.06629058125927,159.0662824127191,11917225.844711123,49.16711011609844,1058662.804564928,62.75309873626088,-1,0.05135305894380162,0.9995216094821467,0.0,0.599712965689288,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,,,,
3,35,159.1028044263877,159.10267112414442,159.1026679220691,5201709.609392759,37.46842313498331,1158388.6576762982,27.04576270586261,-1,0.020125843114982375,0.999926506989993,0.0,0.5999559041939958,1.0,0.375,2.0,O3,de-protonated,,0.0,,C8 H16 O3,8.0,16.0,3.0,,,,,,,
4,37,160.06167494877897,160.06154091652863,160.06153138491908,2497205.38028135,23.953666986350385,1460401.7587301196,13.403784719718939,-1,0.05954965860421673,0.9993567605599524,0.0,0.5996140563359714,2.0,0.6666666666666666,1.8333333333333333,N1 O4,de-protonated,,0.0,,C6 H11 O4 N1,6.0,11.0,4.0,1.0,,,,,,
5,45,164.0354616419661,164.0353245859419,164.0353166364291,1674605.9261802929,46.0718348261111,1205791.8714000029,8.899766590960395,-1,0.0484622030393571,0.9995739431026913,0.0,0.5997443658616147,6.0,0.375,0.875,N1 O3,de-protonated,,0.0,,C8 H7 O3 N1,8.0,7.0,3.0,1.0,,,,,,
6,51,167.07152337850994,167.0713840139362,167.07136779314908,2415684.119161577,57.48104086559503,1154879.7732082682,12.889503803574634,-1,0.09708897069271162,0.998291077885934,0.0,0.5989746467315603,4.0,0.3333333333333333,1.3333333333333333,O3,de-protonated,,0.0,,C9 H12 O3,9.0,12.0,3.0,,,,,,,
7,57,169.08714851363243,169.08700761722935,169.08701785760908,3683380.7817839477,62.67216238491892,999262.8341248821,19.174557947190824,-1,-0.06056277925306723,0.9993346948077338,0.0,0.5996008168846403,3.0,0.3333333333333333,1.5555555555555556,O3,de-protonated,,0.0,,C9 H14 O3,9.0,14.0,3.0,,,,,,,
8,61,171.06643055555782,171.06628815556994,171.0662824127191,143739877.12605488,117.01093615910915,1050201.0536474572,753.2104163016213,-1,0.03357091043622837,0.9998818177822244,0.9995639535743785,0.9997546720990861,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,,,,
9,62,171.10281481326092,171.10267238563912,171.1026679220691,14073596.146995604,60.641449670365574,993469.989211232,73.81825865835519,-1,0.026087086136398065,0.9998765252489997,0.0,0.5999259151493999,2.0,0.3333333333333333,1.7777777777777777,O3,de-protonated,,0.0,,C9 H16 O3,9.0,16.0,3.0,,,,,,,
