,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O
0,7,153.01946879738531,153.01934660527797,153.01933221933908,2451246.6933163754,44.74453557842945,1266695.0121172008,13.63345699562472,-1,0.09401386536179898,0.9983975317183611,0.0,0.5990385190310167,5.0,0.5714285714285714,0.8571428571428571,O4,de-protonated,,0.0,,C7 H6 O4,7.0,6.0,4.0,,,,,
1,8,153.09224075792875,153.09211851060496,153.09210323803907,1713217.9546783806,22.294533531169833,1257514.1759874795,9.401993994493065,-1,0.09976063798368202,0.9981958186210708,0.0,0.5989174911726425,3.0,0.2222222222222222,1.5555555555555556,O2,de-protonated,,0.0,,C9 H14 O2,9.0,14.0,2.0,,,,,
2,11,155.03511741399487,155.0349936924545,155.03498228379908,1823018.1799086016,31.289691411458534,1123346.637840216,10.109123506714264,-1,0.0735876203070163,0.999017912912159,0.0,0.5994107477472954,4.0,0.5714285714285714,1.1428571428571428,O4,de-protonated,,0.0,,C7 H8 O4,7.0,8.0,4.0,,,,,
3,13,155.07149452839116,155.07137077924781,155.07136779314908,4081280.2634190167,36.51097091302211,1091901.73932392,22.53763181351406,-1,0.019256286817399663,0.9999327202591022,0.0,0.5999596321554613,3.0,0.375,1.5,O3,de-protonated,,0.0,,C8 H12 O3,8.0,12.0,3.0,,,,,
4,21,159.06642175154968,159.06629497089403,159.0662824127191,14569888.406162417,46.86838907382489,1062810.0077528479,82.04965156205019,-1,0.07894932071024496,0.9988696705059831,0.0,0.5993218023035898,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,,
5,33,163.04021967403108,163.04008987758027,163.04006766422907,2742797.6703167954,102.3042617779825,1092150.0233444604,14.991145659089423,-1,0.13624473737869094,0.9966375013540282,0.0,0.5979825008124169,6.0,0.3333333333333333,0.8888888888888888,O3,de-protonated,,0.0,,C9 H8 O3,9.0,8.0,3.0,,,,,
6,48,167.03508708107955,167.03495425252515,167.03498228379908,2034392.2191934853,29.074911520339526,1233868.0826405867,11.42155588139681,-1,-0.1678167863075685,0.9949029901949398,0.0,0.5969417941169638,5.0,0.5,1.0,O4,de-protonated,,0.0,,C8 H8 O4,8.0,8.0,4.0,,,,,
7,55,169.08714948483035,169.0870150986369,169.08701785760908,5234827.775335992,28.7781234493812,1179383.8290852504,29.031909253753554,-1,-0.016316877674399533,0.9999516921784293,0.0,0.5999710153070575,3.0,0.3333333333333333,1.5555555555555556,O3,de-protonated,,0.0,,C9 H14 O3,9.0,14.0,3.0,,,,,
8,58,171.01230685294672,171.0121710053662,171.01213883862908,1595523.2737616582,52.765983167937186,1036300.6110222692,8.966402214964805,-1,0.1880962213944924,0.9936008734519076,0.0,0.5961605240711445,4.0,0.42857142857142855,1.1428571428571428,S1 O3,de-protonated,,0.0,,C7 H8 O3 S1,7.0,8.0,3.0,,,1.0,,
9,59,171.06642952906125,171.06629364039514,171.0662824127191,25214590.58278665,91.75627417387234,1111141.7201576917,139.3893694490428,-1,0.06563348367839696,0.49960933453061773,0.9203646850869849,0.6679114747531646,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,,
