,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
3081,1298,323.1997665160272,323.19945670469735,,3306268.2502546306,154.18619706048122,555283.8465186747,17.521731302883833,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3082,1299,323.2065933130532,323.2062834947385,,1752734.1559145916,86.0048770196132,626455.9165380059,9.375429868108506,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3083,1301,323.8853689864791,323.8850584736209,,2740344.522904635,184.43224701804394,664069.712711611,14.273320443360426,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3084,1302,324.12430656695574,324.1239958095865,,2752166.4458758384,120.96856070704084,596549.2539773146,14.648444056130941,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3085,1305,324.15860894524235,324.1582981527696,,1621436.915067812,111.43268586524955,759113.045169411,8.454913768685822,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3086,1308,324.21281107505195,324.21250022711064,,5217372.452402624,176.72730663584147,657054.1439412778,27.120639067962006,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3087,1310,324.2198531544949,324.2195422993469,,1727153.9294947588,60.95260348811954,600558.8619743435,9.110714978245625,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3088,1311,324.23141848871217,324.2311076217286,,270556418.25095993,183.62105280512924,659890.6264910753,1434.1747247051615,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3089,1313,324.7628305097161,324.7625190988695,,12126354.587889887,84.88819150593112,667207.3103914114,63.47836454400368,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3090,1314,324.96426296698564,324.9639513499716,,4544772.544273993,92.36864157402866,625465.8131512286,23.662052567240934,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3091,1320,325.23475508751267,325.2344431936346,,46174787.96035234,172.66463602088604,669913.0412127875,240.16424661007125,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3092,1321,325.95420356886655,325.95389093851725,,3992610.7322164946,152.4110860146098,592560.4351063572,20.730235395091228,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3093,1325,326.1722663298721,326.171953476279,,2120286.2538771364,90.14042141167704,665562.758893859,11.213801615799477,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3094,1328,326.2284586768886,326.2281457657664,,88210663.99538586,83.15455211530833,668237.9891409513,457.93813630470515,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3095,1330,326.2357432518305,326.2354303332504,,2255821.7852571593,76.43885590484267,634284.6505743883,11.918821171715695,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3096,1331,326.23811568335265,326.2378027623436,,3472111.751408375,176.03708220029066,648711.420239416,18.144276873013624,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3097,1334,326.75986192570537,326.7595484705058,,21892757.36885549,253.2536716068621,655969.7187600142,117.10241801210671,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3098,1335,327.098385630748,327.09807182891996,,1673830.4559578653,124.41470290220258,735583.9491935794,8.83668850934234,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3099,1337,327.13715136257736,327.1368375210539,,5682441.482117507,111.90231511139625,640835.203884553,30.05777714242052,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3100,1339,327.16458803623567,327.1642741666174,,1646988.260454427,115.02836956663128,620525.4171603692,8.720958884125904,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3101,1346,327.23182494074257,327.2315110022738,,15573578.184690489,84.61736390650512,655304.6811760798,80.73937163375624,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3102,1352,328.168803527724,328.16848862969164,,1781339.210337624,88.45729886666267,604282.4295994547,9.400704154075315,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3103,1358,328.7569294087015,328.75661390827275,,18676583.961924598,97.48677258125957,670285.4644033654,98.54311075900655,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3104,1359,328.79489212917974,328.79457658986456,,1771350.873580645,134.48365922576266,564028.9406969657,9.181216933837247,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3105,1360,328.95919853382946,328.9588828262068,,6891998.852764466,141.78858083670582,679962.9881861957,35.809672538235105,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3106,1361,329.0916771604098,329.0913613170782,,2864807.0211397447,135.8205248210654,599160.0577797709,15.329519551657553,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3107,1362,329.1164861969216,329.11617032817566,,2304080.422326336,97.57488590094263,706097.2233747207,11.974690645958113,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3108,1364,329.14470369133903,329.1443877936869,,1745012.9736573286,140.32057755368976,573343.5863114882,9.068147759775211,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3109,1365,329.14725934700886,329.14694344673876,,2575229.027460961,149.26558903971446,646237.6046991508,13.512431413201789,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3110,1366,329.1528345685253,329.15251866254386,,4919773160.617855,196.27469597524527,667594.9668839743,26033.429741009186,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3111,1375,330.0277734681233,330.0274566657654,,2022400.7689443869,23.897322548585446,692696.2777423235,10.474196194876047,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3112,1378,330.1611303297801,330.16081339078374,,2707152.091511066,49.52541648100658,695203.945041393,14.236074127198814,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3113,1383,330.75397415399743,330.7536566075233,,7236435.921760892,124.48592895846791,663454.8433305711,38.76809422192882,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3114,1384,330.7919534852789,330.79163589988536,,2925845.7779745734,172.95345081619163,589429.8200019592,15.552997448627222,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3115,1385,331.13208297841703,331.13176504446204,,18959437.558955446,93.73510816866481,651432.1582988205,99.05391738065151,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3116,1387,331.1498649146982,331.14954696251976,,1495857139.6116488,181.09166572118312,666608.2363328747,7769.70925296758,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3117,1388,331.15294158157184,331.15262362624037,,1703061.310949521,135.62469937305596,648521.28829895,9.074798887661213,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3118,1389,331.1570600012823,331.15674204173007,,36317327.549632035,100.1968074130944,653968.5716543659,189.89236159651327,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3119,1390,331.15952233771964,331.159204375644,,69234084.47182602,123.90390068852923,645447.9919835816,370.249666255654,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3120,1391,331.1624551107837,331.16213714570245,,3723548.418382941,38.171859748526906,656255.6159341893,19.825682002594945,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3121,1392,331.1684791084129,331.16816113715805,,4171369.2183717,75.76362986257749,672842.2627452298,21.719923224528333,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3122,1394,331.204850693755,331.2045326852252,,2920910.1757818107,121.8411037373177,675163.3492465192,15.220441054327118,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3123,1397,332.1532220101561,332.15290302960125,,261100280.92088547,256.6003108656291,651449.3367563761,1378.1562651980976,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3124,1398,332.1561313501249,332.1558123665878,,6064897.6806565495,121.6662262343422,646617.9243530933,31.643406030443412,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3125,1400,332.16284495324766,332.16252596282885,,3636452.279197486,89.83423442399251,595843.8918705139,18.915807707789863,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3126,1401,332.1637161176581,332.16339712634635,,5712338.176805354,75.65267095647688,659037.844436623,29.781090222362835,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3127,1403,332.1767838003295,332.17646479562273,,16951361.002449997,214.76710000418655,649060.6879107289,88.40147095843061,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3128,1406,332.236551140573,332.2362320746016,,1848245.8987950494,144.7000687366769,509470.1215698845,9.71197693914021,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3129,1407,332.27288706510876,332.2725679618908,,21115992.23417766,93.82735844848877,659992.886269681,109.84470726290125,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3130,1408,332.29734112845927,332.29702200017414,,5362322.8635382,79.14768177549863,654622.353831394,28.03583426507589,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3131,1409,332.75102033460183,332.7507007412414,,2331105.0928490157,145.90708277420612,607789.6357957013,12.134317715222162,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3132,1410,332.99567892331135,332.9953590791287,,2019926.9881340559,71.85175135701051,619598.9513194422,10.520754090078063,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3133,1411,332.9966360105483,332.9963161653844,,1661299.2071546444,88.51050892787893,679686.9661576904,8.629173319299076,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3134,1412,333.0241588486943,333.0238389753134,,90112668.89402762,131.19904254104873,646473.5349277729,472.49612502158647,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3135,1414,333.1195570877059,333.11923711651946,,5827375.196167996,120.14735694654014,652420.2779022617,30.467486620198247,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3136,1415,333.1253487169386,333.12502873981435,,1814309.699623254,54.31265561816196,629016.9796604622,9.528405809486554,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3137,1416,333.1291493999915,333.1288294189706,,6170083.19787444,67.13972815689884,654550.3087253795,32.19145896824998,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3138,1417,333.14773621143416,333.14741621135715,,120675682.573186,121.37093257566262,653800.6589600813,632.2083287225768,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3139,1418,333.1541151482868,333.1537951416698,,11651762.11153426,146.00933992180725,638798.103885666,60.53058466492757,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3140,1419,333.1565758749015,333.1562558657616,,24196507.161984533,158.4749645576498,654648.4857568649,126.29693720171595,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3141,1420,333.15952514055965,333.159205128396,,1647872.8164208287,71.28964817331654,531345.6599036051,8.553350461398653,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3142,1421,333.1655514556994,333.1652314373573,,1601762.124469399,46.667270400313036,696079.7797443904,8.328542338851783,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3143,1423,333.18412655855775,333.1838065211714,,1577838.4368122723,55.973157151497176,571218.5213314898,8.218133615944147,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3144,1424,333.2205297869997,333.22020971229045,,10121865.967974944,77.25437532913566,628035.5456485976,54.28384535439443,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3145,1428,334.1181751873208,334.1178541922016,,2703466.119351883,97.27418882695946,555825.7584965577,14.305245857213235,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
