,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C
0,29,171.0664189264103,171.06628053276836,171.0662824127191,2806882.163918245,45.52546859191574,1017796.7220483609,15.549793977816497,-1,-0.01098960416795391,0.9999780864282739,0.0,0.5999868518569643,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,
1,31,173.082059615728,173.08191985830462,173.08193247717907,2897124.495815419,33.03578281626225,1130737.2227940883,15.717718318829634,-1,-0.07290694221892878,0.9990359885781672,0.0,0.5994215931469004,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,
2,35,181.01435252592606,181.01420740754304,181.01424683890906,2484462.837525392,40.98319823770806,928557.6425359269,13.652248924368049,-1,-0.21783570469214245,0.9914267867989145,0.0,0.5948560720793487,6.0,0.625,0.75,O5,de-protonated,,0.0,,C8 H6 O5,8.0,6.0,5.0,,,,
3,39,187.09771576210233,187.09756653885083,187.0975825416391,4943032.200372791,70.50722739531548,953401.2520126901,26.979844122777365,-1,-0.08553177467082497,0.9986734592959394,0.0,0.5992040755775636,2.0,0.4444444444444444,1.7777777777777777,O4,de-protonated,,0.0,,C9 H16 O4,9.0,16.0,4.0,,,,
4,41,189.07703411074817,189.0768835531315,189.07684709674908,1709331.8048191438,46.10248276697167,992268.360605661,9.375775706566822,-1,0.19281251500416505,0.993277043676065,0.0,0.595966226205639,2.0,0.625,1.75,O5,de-protonated,,0.0,,C8 H14 O5,8.0,14.0,5.0,,,,
5,46,193.08717319221108,193.08701993297763,193.08701785760908,1576813.197777996,37.07252095182967,1259792.9285124536,8.625713650041478,-1,0.010748358770758748,0.9999790379580822,0.0,0.5999874227748493,5.0,0.2727272727272727,1.2727272727272727,O3,de-protonated,,0.0,,C11 H14 O3,11.0,14.0,3.0,,,,
6,50,195.03004961662757,195.02989504936818,195.0298969033691,2225837.8126454363,67.03137033267959,1063156.6410367757,12.465583581208547,-1,-0.009506239520805222,0.9999836028725264,0.0,0.5999901617235158,6.0,0.5555555555555556,0.8888888888888888,O5,de-protonated,,0.0,,C9 H8 O5,9.0,8.0,5.0,,,,
7,54,197.0092825657248,197.00912666655555,197.00916145847907,2310769.0663370537,64.2075517419121,937311.3808706579,12.61671548812037,-1,-0.17660053607518592,0.9943570056972204,0.0,0.5966142034183323,6.0,0.75,0.75,O6,de-protonated,,0.0,,C8 H6 O6,8.0,6.0,6.0,,,,
8,60,198.9886091704015,198.9884519398577,198.98842601358908,1653273.5782297805,36.088587283064484,906990.1951516193,9.2442349727732,-1,0.1302903346659897,0.9969245438209942,0.0,0.5981547262925965,6.0,1.0,0.5714285714285714,O7,de-protonated,,0.0,,C7 H4 O7,7.0,4.0,7.0,,,,
9,61,199.06134814877103,199.06119086931147,199.06119703228907,1841690.1526945382,72.32534011076412,906131.6583796742,10.288164626071534,-1,-0.030960215704312857,0.9998260902154272,0.0,0.5998956541292563,4.0,0.5555555555555556,1.3333333333333333,O5,de-protonated,,0.0,,C9 H12 O5,9.0,12.0,5.0,,,,
10,65,201.07700299641883,201.07684436178613,201.07684709674908,3071098.821661843,39.12323704847946,1026738.5418812255,16.977150876428162,-1,-0.013601580625313579,0.999966432012919,0.0,0.5999798592077514,3.0,0.5555555555555556,1.5555555555555556,O5,de-protonated,,0.0,,C9 H14 O5,9.0,14.0,5.0,,,,
11,66,201.11339787286775,201.1132392137716,201.11323260609907,1530041.4588749988,44.85106317618582,998888.40675306,8.36263218245423,-1,0.032855483680388355,0.9998041484440362,0.0,0.5998824890664217,2.0,0.4,1.8,O4,de-protonated,,0.0,,C10 H18 O4,10.0,18.0,4.0,,,,
12,73,205.01438693706152,205.014225657021,205.01424683890906,1579143.4858808713,55.97563390389253,937908.3648253347,8.788040513020842,-1,-0.10331910286852972,0.9980649394949161,0.0,0.5988389636969497,8.0,0.5,0.6,O5,de-protonated,,0.0,,C10 H6 O5,10.0,6.0,5.0,,,,
13,80,207.03005946323245,207.02989682983954,207.02989690336906,1755149.6974474164,39.040369320924974,1016557.1072909766,9.594077349883902,-1,-0.0003551637775515278,0.9999999771118254,0.0,0.5999999862670953,7.0,0.5,0.8,O5,de-protonated,,0.0,,C10 H8 O5,10.0,8.0,5.0,,,,
14,89,209.00933682530626,209.009172863601,209.00916145847907,3427073.2238253527,52.81082476880277,968915.3344657604,19.31689669454454,-1,0.05456756947321367,0.9994598607560621,0.0,0.5996759164536373,7.0,0.6666666666666666,0.6666666666666666,O6,de-protonated,,0.0,,C9 H6 O6,9.0,6.0,6.0,,,,
15,90,209.04571848879553,209.04555450267978,209.04554696782907,1505662.2473078906,61.276315716692956,945619.1637730098,8.357034704420457,-1,0.03604406225763404,0.9997642942904265,0.0,0.5998585765742559,6.0,0.5,1.0,O5,de-protonated,,0.0,,C10 H10 O5,10.0,10.0,5.0,,,,
16,95,211.02497599830193,211.02481068449643,211.0248115229391,2641979.260995081,126.59364606517663,944504.0955199272,14.810926877358694,-1,-0.003973194751181293,0.9999971356049642,0.0,0.5999982813629785,6.0,0.6666666666666666,0.8888888888888888,O6,de-protonated,,0.0,,C9 H8 O6,9.0,8.0,6.0,,,,
17,96,211.06135528762044,211.06118994941724,211.06119703228907,1748434.9848669616,27.180097341244952,997314.2172992585,9.582882393816359,-1,-0.03355837989997775,0.9997956797415363,0.0,0.5998774078449217,5.0,0.5,1.2,O5,de-protonated,,0.0,,C10 H12 O5,10.0,12.0,5.0,,,,
18,98,213.07700487829442,213.0768381886157,213.07684709674908,1564386.7385131656,30.098049028700757,910368.8610398627,8.760053122851987,-1,-0.041807139012684374,0.9996829075800431,0.0,0.5998097445480258,4.0,0.5,1.4,O5,de-protonated,,0.0,,C10 H14 O5,10.0,14.0,5.0,,,,
19,101,215.0562436933752,215.05607567723783,215.05611165185908,1502810.1015021128,57.93556742369776,780314.7239268582,8.315053619167173,-1,-0.16728016227458206,0.9949354527157899,0.0,0.5969612716294739,4.0,0.6666666666666666,1.3333333333333333,O6,de-protonated,,0.0,,C9 H12 O6,9.0,12.0,6.0,,,,
20,102,215.09265092715594,215.09248288662457,215.09249716120908,2984586.2260244386,101.57758110929568,871863.087025848,16.61331480423303,-1,-0.06636486490092312,0.999201165643088,0.0,0.5995206993858528,3.0,0.5,1.6,O5,de-protonated,,0.0,,C10 H16 O5,10.0,16.0,5.0,,,,
21,104,217.07188381009897,217.07171444372221,217.0717617163191,1502769.6726146261,40.290213754971276,739574.0038026982,8.261877577846347,-1,-0.21777405084685778,0.9914316182023153,0.0,0.5948589709213892,3.0,0.6666666666666666,1.5555555555555556,O6,de-protonated,,0.0,,C9 H14 O6,9.0,14.0,6.0,,,,
22,105,217.1083324522914,217.1081630615041,217.1081472256691,2108988.10603816,69.59146456245551,854040.8365534744,11.754703870919599,-1,0.07293984681368736,0.999035118640389,0.0,0.5994210711842334,2.0,0.5,1.8,O5,de-protonated,,0.0,,C10 H18 O5,10.0,18.0,5.0,,,,
23,107,221.00931445638065,221.0091424541831,221.00916145847907,1860093.4409438688,51.094868859325146,920164.3115491591,10.240586062784478,-1,-0.08598872487123335,0.9986592569805293,0.0,0.5991955541883175,8.0,0.6,0.6,O6,de-protonated,,0.0,,C10 H6 O6,10.0,6.0,6.0,,,,
24,110,223.02499330913898,223.02481995850866,223.02481152293907,2839944.7288639783,90.22444711750065,932406.9919879189,15.644951104390609,-1,0.037823457962795494,0.9997404506628725,0.0,0.5998442703977235,7.0,0.6,0.8,O6,de-protonated,,0.0,,C10 H8 O6,10.0,8.0,6.0,,,,
25,114,225.0042433447492,225.0040686706598,225.00407607804908,4563385.901927204,72.28178365570606,904075.2339785219,24.975946986687262,-1,-0.032921133783474506,0.9998033650585137,0.0,0.5998820190351082,7.0,0.7777777777777778,0.6666666666666666,O7,de-protonated,,0.0,,C9 H6 O7,9.0,6.0,7.0,,,,
26,115,225.04058170393697,225.0404070055549,225.04046158739908,1629174.6790873834,43.167282787380984,749252.4765383662,8.925178724848237,-1,-0.24254235792601514,0.9893827207205703,0.0,0.5936296324323421,6.0,0.6,1.0,O6,de-protonated,,0.0,,C10 H10 O6,10.0,10.0,6.0,,,,
27,118,227.0926853488505,227.09250927893765,227.09249716120908,1909523.2477109986,20.754230575995038,883672.3391951814,10.738761607790119,-1,0.053360321124371314,0.9994834902612999,0.0,0.5996900941567799,4.0,0.45454545454545453,1.4545454545454546,O5,de-protonated,,0.0,,C11 H16 O5,11.0,16.0,5.0,,,,
28,121,229.07193047173195,229.07175307959287,229.0717617163191,2042393.6426073813,58.317228443721014,824899.6193944208,11.379672842656925,-1,-0.03770314663230854,0.9997420990072124,0.0,0.5998452594043274,4.0,0.6,1.4,O6,de-protonated,,0.0,,C10 H14 O6,10.0,14.0,6.0,,,,
29,122,229.10832124914398,229.10814383269982,229.1081472256691,2852096.640943255,65.13339467432668,856536.37739535,15.566586411917811,-1,-0.014809465761393944,0.9999602054158387,0.0,0.5999761232495032,3.0,0.45454545454545453,1.6363636363636365,O5,de-protonated,,0.0,,C11 H18 O5,11.0,18.0,5.0,,,,
30,124,231.0875916979181,231.08741295984007,231.0874117807791,3801627.7763262293,84.64230932405064,987297.4740153411,20.79463089546015,-1,0.005102229343493184,0.9999952764039067,0.0,0.599997165842344,3.0,0.6,1.6,O6,de-protonated,,0.0,,C10 H16 O6,10.0,16.0,6.0,,,,
31,125,231.12395806626498,231.12377930390937,231.12379729012906,1575006.864566829,115.21982583478291,761324.0632983412,8.636908606109019,-1,-0.0778207172935939,0.9989017386666158,0.0,0.5993410431999695,2.0,0.45454545454545453,1.8181818181818181,O5,de-protonated,,0.0,,C11 H20 O5,11.0,20.0,5.0,,,,
32,127,233.1548870730996,233.15470695524894,233.15470349587906,3769895.130163975,80.37905587113302,790830.1928532553,20.67708385675095,-1,0.014837229644894579,0.9999600560700374,0.0,0.5999760336420223,5.0,0.13333333333333333,1.4666666666666666,O2,de-protonated,,0.0,,C15 H22 O2,15.0,22.0,2.0,,,,
33,128,235.02495078513238,235.0247694197095,235.02481152293907,1480089.185216739,92.15305681651938,953878.1280148631,8.144330539137151,-1,-0.17914376493336795,0.9941937817360347,0.0,0.5965162690416208,8.0,0.5454545454545454,0.7272727272727273,O6,de-protonated,,0.0,,C11 H8 O6,11.0,8.0,6.0,,,,
34,129,235.06137305790895,235.06119166819303,235.06119703228907,2198438.0475875614,92.42531627087908,932415.1908530385,12.325646630364265,-1,-0.02281999797483454,0.9999055146419201,0.0,0.599943308785152,7.0,0.4166666666666667,1.0,O5,de-protonated,,0.0,,C12 H12 O5,12.0,12.0,5.0,,,,
35,131,237.00420368600365,237.0040210007471,237.00407607804908,1737016.5546102258,43.92066293241164,885007.3515223133,9.81797647123475,-1,-0.23238968251202363,0.9902487251632535,0.0,0.594149235097952,8.0,0.7,0.6,O7,de-protonated,,0.0,,C10 H6 O7,10.0,6.0,7.0,,,,
36,132,237.04063431331235,237.0404516037682,237.04046158739908,1657341.6358480926,44.190485280779384,910445.5825483103,9.17986397538483,-1,-0.0421178343235248,0.9996781777996326,0.0,0.5998069066797795,7.0,0.5454545454545454,0.9090909090909091,O6,de-protonated,,0.0,,C11 H10 O6,11.0,10.0,6.0,,,,
37,133,237.11337017488395,237.11318741684886,237.11323260609907,1472280.5198942067,96.92285357628714,707554.7365346476,8.113544409951409,-1,-0.19058088710992147,0.9934312578721394,0.0,0.5960587547232836,5.0,0.3076923076923077,1.3846153846153846,O4,de-protonated,,0.0,,C13 H18 O4,13.0,18.0,4.0,,,,
38,135,239.01990561692142,239.01972158814064,239.01972614250906,4580009.365641543,83.92422851414099,849757.6759631848,25.261418366409593,-1,-0.019054362123672886,0.9999341238283822,0.0,0.5999604742970293,7.0,0.7,0.8,O7,de-protonated,,0.0,,C10 H8 O7,10.0,8.0,7.0,,,,
39,136,239.05629495733555,239.05611090430594,239.05611165185908,1932484.9034034559,73.56330545112759,818947.6268728368,10.61001961301338,-1,-0.003127103254354491,0.9999982256557396,0.0,0.5999989353934437,6.0,0.5454545454545454,1.0909090909090908,O6,de-protonated,,0.0,,C11 H12 O6,11.0,12.0,6.0,,,,
40,137,239.12903576598612,239.1288516644846,239.12888267055905,3230510.387070383,34.977920737340504,966171.7016033774,18.242180912060462,-1,-0.1296626074214625,0.9969540619115859,0.0,0.5981724371469515,4.0,0.3076923076923077,1.5384615384615385,O4,de-protonated,,0.0,,C13 H20 O4,13.0,20.0,4.0,,,,
