,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,34S
0,21,161.08200286433504,161.08191891623358,161.08193247717907,1844109.6040204063,11.163058349384999,1063710.3918768268,9.677989364249875,-1,-0.08418663273747284,0.998714829093049,0.0,0.5992288974558294,1.0,0.5714285714285714,2.0,O4,de-protonated,,0.0,,C7 H14 O4,7.0,14.0,4.0,,,,,,
1,29,163.04016724384365,163.04008233369785,163.04006766422907,4139296.8255930836,45.248233211175624,1165186.055583083,21.781446860916635,-1,0.08997462398644189,0.99853217263791,0.0,0.599119303582746,6.0,0.3333333333333333,0.8888888888888888,O3,de-protonated,,0.0,,C9 H8 O3,9.0,8.0,3.0,,,,,,
2,47,167.03507279888973,167.03498592605058,167.03498228379908,2318861.5238799327,54.582477032739554,1108323.7067971856,12.137955402270064,-1,0.021805321554292587,0.9999137299429723,0.0,0.5999482379657833,5.0,0.5,1.0,O4,de-protonated,,0.0,,C8 H8 O4,8.0,8.0,4.0,,,,,,
3,48,167.07146545017773,167.0713785594589,167.07136779314908,2757035.660140142,59.01765249466402,1163451.3139666987,14.319284510417416,-1,0.06444138196670943,0.9992467833547838,0.0,0.5995480700128702,4.0,0.3333333333333333,1.3333333333333333,O3,de-protonated,,0.0,,C9 H12 O3,9.0,12.0,3.0,,,,,,
4,54,169.0143140855892,169.01422624035067,169.01424683890906,1895990.0593273866,40.500138462299596,1265376.53223165,9.940704183844263,-1,-0.12187468677025941,0.9973084915775132,0.0,0.5983850949465079,5.0,0.7142857142857143,0.8571428571428571,O5,de-protonated,,0.0,,C7 H6 O5,7.0,6.0,5.0,,,,,,
5,55,169.05072876269685,169.0506408995678,169.05063234825906,3728814.888669859,58.63517500252193,1115506.6857251122,19.371900838778195,-1,0.05058430503259768,0.9995358219613129,0.0,0.5997214931767877,4.0,0.5,1.25,O4,de-protonated,,0.0,,C8 H10 O4,8.0,10.0,4.0,,,,,,
6,56,169.0871258302617,169.08703794925083,169.08701785760908,4910765.881350148,59.95688141991194,1168490.976432536,25.51783540625906,-1,0.11882427166006121,0.9974413672359129,0.0,0.5984648203415477,3.0,0.3333333333333333,1.5555555555555556,O3,de-protonated,,0.0,,C9 H14 O3,9.0,14.0,3.0,,,,,,
7,63,171.06637986375134,171.0662910103348,171.0662824127191,28449985.635199156,56.801231258960826,1035582.4723630736,149.45554181369698,-1,0.050258973203600114,0.4997708860493548,0.9203646850869849,0.6680084056644069,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,,,
8,64,171.10277520108545,171.10268632978793,171.1026679220691,2670858.242273947,57.23015409576003,1161364.5070320275,13.724859060022032,-1,0.10758288613680055,0.9979021025318844,0.0,0.5987412615191307,2.0,0.3333333333333333,1.7777777777777777,O3,de-protonated,,0.0,,C9 H16 O3,9.0,16.0,3.0,,,,,,
9,66,173.04563982308852,173.04554999726344,173.04554696782907,3164290.7287695245,44.15577575622845,1041765.1331955284,16.792518973669647,-1,0.017506572231681526,0.9999443911399114,0.0,0.5999666346839468,3.0,0.7142857142857143,1.4285714285714286,O5,de-protonated,,0.0,,C7 H10 O5,7.0,10.0,5.0,,,,,,
10,67,173.11839907079332,173.11830920922168,173.11831798652906,2815168.1132809375,57.19569232846996,986411.1054897341,14.706722527192982,-1,-0.05070120532526108,0.9995336745529299,0.0,0.5997202047317579,1.0,0.3333333333333333,2.0,O3,de-protonated,,0.0,,C9 H18 O3,9.0,18.0,3.0,,,,,,
11,69,175.09767147395877,175.09758063997245,175.0975825416391,4297644.388414041,50.78863320484504,1018582.0269342976,22.36525757112639,-1,-0.010860610536847795,0.9999785978373121,0.0,0.5999871587023873,1.0,0.5,2.0,O4,de-protonated,,0.0,,C8 H16 O4,8.0,16.0,4.0,,,,,,
12,71,177.05578626263073,177.05569446662446,177.05571772868907,3117309.8614613097,59.37325090041279,1022269.0407459732,16.47407676810069,-1,-0.13138273597883837,0.9968728372071336,0.0,0.5981237023242801,6.0,0.3,1.0,O3,de-protonated,,0.0,,C10 H10 O3,10.0,10.0,3.0,,,,,,
13,72,177.0921967467513,177.09210493285659,177.09210323803907,3916680.249315191,60.291912307475044,1011781.0640991413,20.603210700311497,-1,0.00957026023187592,0.9999833812745228,0.0,0.5999900287647136,5.0,0.18181818181818182,1.2727272727272727,O2,de-protonated,,0.0,,C11 H14 O2,11.0,14.0,2.0,,,,,,
14,73,179.0350798585937,179.03498709016233,179.03498228379908,9311843.395340586,53.92374099043168,958261.0293467197,49.06132913799059,-1,0.026845944793572458,0.999869237619702,0.0,0.5999215425718212,6.0,0.4444444444444444,0.8888888888888888,O4,de-protonated,,0.0,,C9 H8 O4,9.0,8.0,4.0,,,,,,
15,76,181.0143486968229,181.01425495597863,181.01424683890906,5230478.707682675,68.19000484426442,1075233.7670796388,27.311726497630847,-1,0.044842158620827396,0.9996352060531032,0.0,0.5997811236318619,6.0,0.625,0.75,O5,de-protonated,,0.0,,C8 H6 O5,8.0,6.0,5.0,,,,,,
16,77,181.05073311368042,181.0506393549605,181.05063234825906,2585073.84335286,59.836923010525226,1059495.3653991597,13.332113673153652,-1,0.03870023186911858,0.9997282797832153,0.0,0.5998369678699291,5.0,0.4444444444444444,1.1111111111111112,O4,de-protonated,,0.0,,C9 H10 O4,9.0,10.0,4.0,,,,,,
17,79,181.08711670686566,181.0870229302705,181.08701785760908,2035144.168711656,35.50187822288936,1139409.217029877,10.699658107116944,-1,0.028012286487284693,0.9998576294936325,0.0,0.5999145776961795,4.0,0.3,1.4,O3,de-protonated,,0.0,,C10 H14 O3,10.0,14.0,3.0,,,,,,
