,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C
0,6,155.0714809696623,155.07134195081278,155.07136779314908,1573102.6871447,22.32548187800683,1057395.8124098657,8.390482613407114,-1,-0.16664801934159224,0.9949735615279,0.0,0.5969841369167399,3.0,0.375,1.5,O3,de-protonated,,0.0,,C8 H12 O3,8.0,12.0,3.0,,,,
1,9,159.06643621215707,159.06629393412902,159.0662824127191,9607483.970714431,27.981755004772097,1071674.2941616864,52.061494206606966,-1,0.07243150312080918,0.9990485145977929,0.0,0.5994291087586757,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,
2,10,159.10282662692657,159.10268431921037,159.1026679220691,1527040.5326870796,31.533423752816216,1264471.7809511668,8.10040069657047,-1,0.10306012774313547,0.9980746186795657,0.0,0.5988447712077394,1.0,0.375,2.0,O3,de-protonated,,0.0,,C8 H16 O3,8.0,16.0,3.0,,,,
3,19,163.040211566688,163.04006604676044,163.04006766422907,1663193.188036788,37.88554550973008,1122093.1683724003,9.00074928750685,-1,-0.009920681767149202,0.9999821419930449,0.0,0.599989285195827,6.0,0.3333333333333333,0.8888888888888888,O3,de-protonated,,0.0,,C9 H8 O3,9.0,8.0,3.0,,,,
4,23,165.01948358640348,165.01933645173924,165.01933221933908,5718069.771660708,72.93692266984618,1023808.4298200832,30.715843722400997,-1,0.025647905014657434,0.9998806474497552,0.0,0.5999283884698531,6.0,0.5,0.75,O4,de-protonated,,0.0,,C8 H6 O4,8.0,6.0,4.0,,,,
5,30,167.0351117942888,167.03496301522762,167.03498228379908,2141406.4421989457,15.545252592495418,1232189.3514158686,11.833152909449565,-1,-0.11535650317242128,0.9975883527500848,0.0,0.5985530116500509,5.0,0.5,1.0,O4,de-protonated,,0.0,,C8 H8 O4,8.0,8.0,4.0,,,,
6,36,169.01441209288953,169.01426169906856,169.01424683890906,1604091.9071711607,60.48733349943983,1059004.9662665294,8.642251824246467,-1,0.08792252590383341,0.9985983176925287,0.0,0.5991589906155173,5.0,0.7142857142857143,0.8571428571428571,O5,de-protonated,,0.0,,C7 H6 O5,7.0,6.0,5.0,,,,
7,37,169.05078448028854,169.0506340567941,169.05063234825906,2741436.06526331,100.54014512846757,1184570.063962618,14.723025590388218,-1,0.010106646916192287,0.9999814662205463,0.0,0.5999888797323277,4.0,0.5,1.25,O4,de-protonated,,0.0,,C8 H10 O4,8.0,10.0,4.0,,,,
8,42,171.06644038119921,171.06628831328524,171.0662824127191,6394825.79313256,48.6942406822547,1064923.228491247,34.55806080955807,-1,0.034492864800816,0.999784143324689,0.0,0.5998704859948134,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,
9,47,173.0820962022405,173.08194248990708,173.08193247717907,10788854.836138139,50.9925217678617,1096182.378203779,57.49095197079474,-1,0.05784964304904216,0.9993929515659635,0.0,0.5996357709395781,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,
