,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S
0,13,629.9868036713428,629.9868036713428,629.986785307669,1606357.5761731977,211.63625944465474,263517.75047662534,8.56505333791443,-1,0.02914930000310284,0.9998458382575877,0.0,0.5999075029545525,29.0,0.375,0.3125,N1 P1 O12,de-protonated,,0.0,,C32 H10 O12 N1 P1,32.0,10.0,12.0,1.0,1.0,
1,14,648.3792656286247,648.3792656286247,648.379181081129,1584831.4243127205,479.32864452207906,171557.6495028049,8.431607599562218,-1,0.13039822710256332,0.9969194560449584,0.0,0.598151673626975,8.0,0.05714285714285714,1.7142857142857142,N3 S2 P1 O2,de-protonated,,0.0,,C35 H60 O2 N3 P1 S2,35.0,60.0,2.0,3.0,1.0,2.0
2,15,661.0635196751858,661.0635196751858,661.063519507829,1510268.6387188511,220.28356384793872,243847.4180059003,8.080492871274942,-1,0.00025316296733309733,0.9999999883706837,0.0,0.5999999930224102,40.0,0.08695652173913043,0.32608695652173914,P1 O4,de-protonated,,0.0,,C46 H15 O4 P1,46.0,15.0,4.0,,1.0,
3,15,661.0635196751858,661.0635196751858,661.063381123399,1510268.6387188511,220.28356384793872,243847.4180059003,8.080492871274942,-1,0.20958926291572597,0.9920610650896541,0.0,0.5952366390537924,13.0,0.68,1.08,S1 P1 O17,de-protonated,,0.0,,C25 H27 O17 P1 S1,25.0,27.0,17.0,,1.0,1.0
4,17,675.0318894041905,675.0318894041905,675.0317473781391,1573777.978140292,245.2085224113467,216196.54392586873,8.407677636271234,-1,0.2103990691890359,0.9919998445441426,0.0,0.5951999067264855,33.0,0.32432432432432434,0.32432432432432434,N2 O12,de-protonated,,0.0,,C37 H12 O12 N2,37.0,12.0,12.0,2.0,,
5,18,678.0264992033659,678.0264992033659,678.026409178609,1547084.8607917007,130.79385869442362,257463.9906219437,8.259499215892903,-1,0.13277470564861193,0.9968063295383579,0.0,0.5980837977230147,40.0,0.06666666666666667,0.28888888888888886,N1 S2 O3,de-protonated,,0.0,,C45 H13 O3 N1 S2,45.0,13.0,3.0,1.0,,2.0
6,18,678.0264992033659,678.0264992033659,678.0265421203391,1547084.8607917007,130.79385869442362,257463.9906219437,8.259499215892903,-1,-0.0632968924919683,0.9992732906366204,0.0,0.5995639743819722,27.0,0.3235294117647059,0.5294117647058824,N1 S1 P1 O11,de-protonated,,0.0,,C34 H18 O11 N1 P1 S1,34.0,18.0,11.0,1.0,1.0,1.0
7,0,182.40573908919072,182.40573908919072,,1513396.6784352122,34.05619779888281,946600.2402182617,8.074531670455123,-1,,,,,,,,unassigned,,,,,,,,,,,
8,1,187.27540461771562,187.27540461771562,,1574411.9487503567,28.18265995803955,1177531.9947091863,8.436972680300055,-1,,,,,,,,unassigned,,,,,,,,,,,
9,2,200.0756666616215,200.0756666616215,,1606716.4390723847,70.96247347458028,747122.6106304999,8.625005986159454,-1,,,,,,,,unassigned,,,,,,,,,,,
10,3,204.13823578800887,204.13823578800887,,1580638.9311654912,102.6294012610891,815287.7802865724,8.53371445360453,-1,,,,,,,,unassigned,,,,,,,,,,,
11,4,235.60373000770403,235.60373000770403,,1874250.4317118907,74.03713123605773,614513.8504501493,10.03934346066712,-1,,,,,,,,unassigned,,,,,,,,,,,
12,5,246.3128232200122,246.3128232200122,,1536594.0023140397,26.52931061699538,788918.1166424729,8.268015217064072,-1,,,,,,,,unassigned,,,,,,,,,,,
13,6,322.28163386939366,322.28163386939366,,1524607.6669528384,204.44327949350642,531048.6704914094,8.217600490130755,-1,,,,,,,,unassigned,,,,,,,,,,,
14,7,322.90537431466305,322.90537431466305,,1574306.7720539512,126.1421600117481,529931.9609736699,8.43015987936312,-1,,,,,,,,unassigned,,,,,,,,,,,
15,8,350.71654771482275,350.71654771482275,,1579205.4563007478,106.2396382612131,556807.7550287643,8.409721476552315,-1,,,,,,,,unassigned,,,,,,,,,,,
16,9,405.7545324899032,405.7545324899032,,1576189.178157536,224.39089725749244,381156.7099527768,8.542571094822543,-1,,,,,,,,unassigned,,,,,,,,,,,
17,10,455.6351682750635,455.6351682750635,,1545154.3169774518,154.23407409247935,436098.3329701008,8.402227395521686,-1,,,,,,,,unassigned,,,,,,,,,,,
18,11,500.17405511655267,500.17405511655267,,1545858.9073539507,192.41850641776597,378066.72914753086,8.26392753650191,-1,,,,,,,,unassigned,,,,,,,,,,,
19,12,577.905472955171,577.905472955171,,1633061.8070241527,190.21266973421166,311611.6112126382,8.73196696086933,-1,,,,,,,,unassigned,,,,,,,,,,,
20,16,663.0552210249306,663.0552210249306,,1779062.175838788,350.3973404792102,214973.12235074487,9.474562262995224,-1,,,,,,,,unassigned,,,,,,,,,,,
21,19,687.3408637198186,687.3408637198186,,1573469.4419245524,117.23699656894291,242548.50484878637,8.379745152429802,-1,,,,,,,,unassigned,,,,,,,,,,,
22,20,696.8523881614896,696.8523881614896,,1642143.4013897867,194.37960216128297,286628.8829300115,8.746614482883741,-1,,,,,,,,unassigned,,,,,,,,,,,
23,21,699.7996514280084,699.7996514280084,,1548774.5743750045,172.61575210121163,217618.5476844608,8.26443849657218,-1,,,,,,,,unassigned,,,,,,,,,,,
24,22,704.7140299426353,704.7140299426353,,1556823.9618983031,253.33625198199803,202437.49320854488,8.334269706175762,-1,,,,,,,,unassigned,,,,,,,,,,,
25,23,714.7876572586074,714.7876572586074,,1531021.873317242,381.5126977308027,238528.36840548282,8.222710090833456,-1,,,,,,,,unassigned,,,,,,,,,,,
26,24,718.4949331656022,718.4949331656022,,1605957.7906268914,236.4968830497616,200926.88931731868,8.553641896345063,-1,,,,,,,,unassigned,,,,,,,,,,,
27,25,731.9207070074976,731.9207070074976,,1596633.5612127346,301.2162838598829,253521.93851029268,8.499820768943279,-1,,,,,,,,unassigned,,,,,,,,,,,
28,26,742.7103495280173,742.7103495280173,,1695845.5021261799,194.11514318208646,217770.14271144356,9.0801010887467,-1,,,,,,,,unassigned,,,,,,,,,,,
29,27,747.0524938995002,747.0524938995002,,1748916.0386794226,216.86070961364152,200851.32249402534,9.390253851400656,-1,,,,,,,,unassigned,,,,,,,,,,,
30,28,761.8697824633875,761.8697824633875,,1602678.4516309407,345.149438210345,135781.88535103895,8.53371445360453,-1,,,,,,,,unassigned,,,,,,,,,,,
31,29,782.3408779776669,782.3408779776669,,1807358.6261277234,276.4056652801112,145164.45204227234,9.658678208315887,-1,,,,,,,,unassigned,,,,,,,,,,,
32,30,794.158838405147,794.158838405147,,1503413.2940609138,139.65103830106327,134416.89659514735,8.12239159703709,-1,,,,,,,,unassigned,,,,,,,,,,,
33,31,795.901367827943,795.901367827943,,1505247.028120459,229.4870769433757,212641.69860918925,8.04455534633261,-1,,,,,,,,unassigned,,,,,,,,,,,
34,32,797.4741627500463,797.4741627500463,,1575080.4192205453,228.96426700147663,191963.80168431782,8.535077013791916,-1,,,,,,,,unassigned,,,,,,,,,,,
