,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,34S
0,23,151.07664961555912,151.07646770900652,151.07645317357907,3093791.05585778,24.505622916544702,1515676.2711840752,16.0201092942382,-1,0.09621239543508017,0.9983217710616402,0.0,0.5989930626369842,4.0,0.2222222222222222,1.3333333333333333,O2,de-protonated,,0.0,,C9 H12 O2,9.0,12.0,2.0,,,,,,,
1,40,152.03549621018345,152.03531300367592,152.0353166364291,1942840.3117661984,22.190655418309973,1370206.0901543165,10.233296906412448,-1,-0.023894140148116663,0.9998964108793289,0.0,0.5999378465275973,5.0,0.42857142857142855,1.0,N1 O3,de-protonated,,0.0,,C7 H7 O3 N1,7.0,7.0,3.0,1.0,,,,,,
2,61,153.03237024579346,153.0321856860224,153.03221937890908,2003407.046679998,39.04366405126439,1031846.5275120939,10.49923497570591,-1,-0.2201685816580699,0.9912429872620332,0.0,0.5947457923572199,0.0,1.0,2.75,P1 O4,de-protonated,,0.0,,C4 H11 O4 P1,4.0,11.0,4.0,,1.0,,,,,
3,68,153.09231301071563,153.09212836951485,153.09210323803907,2226107.6401631963,9.08434462741889,1654381.321759526,11.562987252879761,-1,0.1641591907673404,0.9951222125022491,0.0,0.5970733275013494,3.0,0.2222222222222222,1.5555555555555556,O2,de-protonated,,0.0,,C9 H14 O2,9.0,14.0,2.0,,,,,,,
4,104,154.99876555585746,154.9985783214513,154.99859677444908,24895212.16949278,57.51920328060447,1053375.0171759566,132.16058291607928,-1,-0.11905267636420977,0.498715766999922,0.9390602752728998,0.6748535703091132,5.0,0.8333333333333334,0.6666666666666666,O5,de-protonated,,0.0,,C6 H4 O5,6.0,4.0,5.0,,,,,,,
5,107,155.03514296373876,155.0349556797876,155.03498228379908,25293132.34989289,50.50461843932824,1056377.8899788857,131.22448091216629,-1,-0.1716000549618732,0.4973356028075519,0.929618492764518,0.6702487587903383,4.0,0.5714285714285714,1.1428571428571428,O4,de-protonated,,0.0,,C7 H8 O4,7.0,8.0,4.0,,,,,,,
6,111,155.07153394314096,155.0713466096239,155.07136779314908,8555686.909711014,42.06456349162424,1048817.2460142286,45.31584700760606,-1,-0.1366050063207359,0.9966197252102516,0.0,0.5979718351261509,3.0,0.375,1.5,O3,de-protonated,,0.0,,C8 H12 O3,8.0,12.0,3.0,,,,,,,
7,195,159.04533661953414,159.04514385921834,159.04515304465906,2344399.508452712,28.098285790765154,1040830.4552284965,12.275701278586242,-1,-0.05775366643707101,0.9993949635578722,0.0,0.5996369781347233,7.0,0.2,0.8,O2,de-protonated,,0.0,,C10 H8 O2,10.0,8.0,2.0,,,,,,,
8,232,161.02460254553034,161.02440707164774,161.0244175997691,4157646.8306241133,23.834163271768922,1166907.4053701472,21.20058288407485,-1,-0.06538214208533798,0.9992246394570516,0.0,0.599534783674231,7.0,0.3333333333333333,0.6666666666666666,O3,de-protonated,,0.0,,C9 H6 O3,9.0,6.0,3.0,,,,,,,
9,237,161.04573479706434,161.0455392941715,161.04554696782907,21817707.46319541,43.68275609802365,1045115.2149178106,112.84284156260213,-1,-0.04764898941995219,0.9995881189962388,0.0,0.5997528713977432,2.0,0.8333333333333334,1.6666666666666667,O5,de-protonated,,0.0,,C6 H10 O5,6.0,10.0,5.0,,,,,,,
10,240,161.06101945999413,161.06082393611806,161.06080310911906,4259761.287235879,51.924264109877306,1112604.8098137,22.253697638476964,-1,0.12931140655673093,0.9969705148822665,0.0,0.5981823089293599,6.0,0.2,1.0,O2,de-protonated,,0.0,,C10 H10 O2,10.0,10.0,2.0,,,,,,,
11,243,161.08213913038767,161.08194357751725,161.08193247717907,4630713.625021882,20.502054802213472,1343725.5440982361,24.636502739346394,-1,0.06891113121085563,0.9991387177553652,0.0,0.5994832306532191,1.0,0.5714285714285714,2.0,O4,de-protonated,,0.0,,C7 H14 O4,7.0,14.0,4.0,,,,,,,
12,244,161.09736494665123,161.09716937287737,161.0971886184691,1769603.29560239,13.086960400224962,1503074.959010592,9.669508199510307,-1,-0.11946572054354047,0.9974137039963159,0.0,0.5984482223977895,5.0,0.09090909090909091,1.2727272727272727,O1,de-protonated,,0.0,,C11 H14 O1,11.0,14.0,1.0,,,,,,,
13,300,164.03553846986367,164.03533885448795,164.0353166364291,2132744.667514313,24.84536558891123,976461.7157936915,11.137486342010222,-1,0.13544680081683033,0.9966767065900358,0.0,0.5980060239540215,6.0,0.375,0.875,N1 O3,de-protonated,,0.0,,C8 H7 O3 N1,8.0,7.0,3.0,1.0,,,,,,
14,320,165.01954772410838,165.01934675170932,165.01933221933908,61712271.631203964,112.07677602207853,1195852.9833598402,325.933697726068,-1,0.08806465308411957,0.4992968927839575,0.9203646850869849,0.6677240097051684,6.0,0.5,0.75,O4,de-protonated,,0.0,,C8 H6 O4,8.0,6.0,4.0,,,,,,,
15,328,165.06881602504325,165.0686149846537,165.06860488825907,1912550.2542777401,38.3846775863096,1198425.1272913038,10.121602917309193,-1,0.06116483885573249,0.9993214058623088,0.0,0.5995928435173853,0.0,0.5,2.5,P1 O3,de-protonated,,0.0,,C6 H15 O3 P1,6.0,15.0,3.0,,1.0,,,,,
16,330,165.0923125509456,165.0921114781292,165.09210323803907,4685634.078152903,52.239527228991165,1158752.9373225926,24.35992714728119,-1,0.04991207915631924,0.9995480743429447,0.0,0.5997288446057668,4.0,0.2,1.4,O2,de-protonated,,0.0,,C10 H14 O2,10.0,14.0,2.0,,,,,,,
17,351,166.0511748347295,166.0509724377687,166.0509667008891,1578710.360903622,20.839500167547556,1314001.7009915274,8.50469945600494,-1,0.03454890825928659,0.9997834413898725,0.0,0.5998700648339235,5.0,0.375,1.125,N1 O3,de-protonated,,0.0,,C8 H9 O3 N1,8.0,9.0,3.0,1.0,,,,,,
18,363,166.99881066818634,166.9986069609599,166.99859677444908,4316430.840852823,32.91637861481701,976083.2681215343,22.243060115705227,-1,0.06099758331735696,0.9993251107748999,0.0,0.59959506646494,6.0,0.7142857142857143,0.5714285714285714,O5,de-protonated,,0.0,,C7 H4 O5,7.0,4.0,5.0,,,,,,,
