,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,34S
0,10,153.0921770957499,153.0921032387948,153.09210323803907,1848396.3306368766,25.51188022485151,1388541.8187556313,9.837051500314129,-1,4.936461370442941e-06,0.9999999999955783,0.0,0.599999999997347,3.0,0.2222222222222222,1.5555555555555556,O2,de-protonated,,0.0,,C9 H14 O2,9.0,14.0,2.0,,,,,,
1,20,157.08711638254914,157.08704073068955,157.08701785760908,2210618.2420472596,19.396363125158746,1115863.8865397032,11.776294031763719,-1,0.14560770698837858,0.9961603869830502,0.0,0.5976962321898301,2.0,0.375,1.75,O3,de-protonated,,0.0,,C8 H14 O3,8.0,14.0,3.0,,,,,,
2,32,162.07726870331607,162.07719080940817,162.07718144937908,1588277.6136599283,13.951861915982713,1247212.052093594,8.542417519821244,-1,0.05775044333057979,0.9993950310670924,0.0,0.5996370186402554,1.0,0.6666666666666666,2.1666666666666665,N1 O4,de-protonated,,0.0,,C6 H13 O4 N1,6.0,13.0,4.0,1.0,,,,,
3,58,167.03506417684287,167.0349840554244,167.03498228379908,1651491.3276134718,40.883564203820654,1009781.0799224348,8.807844570215183,-1,0.010606313017060418,0.9999795883423358,0.0,0.5999877530054014,5.0,0.5,1.0,O4,de-protonated,,0.0,,C8 H8 O4,8.0,8.0,4.0,,,,,,
4,69,171.01223468458957,171.01215277625,171.01213883862908,2258524.356497619,50.888272461256626,1229137.5734096419,12.258396225336384,-1,0.08150076948304881,0.9987954757273327,0.0,0.5992772854363996,4.0,0.42857142857142855,1.1428571428571428,S1 O3,de-protonated,,0.0,,C7 H8 O3 S1,7.0,8.0,3.0,,,1.0,,,
5,70,171.06637508213953,171.06629314947497,171.0662824127191,48947192.32205175,97.4586696484605,1063910.932607371,264.43034473531634,-1,0.06276371784760101,0.49964273871782516,0.9203646850869849,0.667931517265489,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,,,
6,71,171.1027652094246,171.10268326041015,171.1026679220691,2635953.7704992443,59.522869204882284,1156132.5381151994,14.246390664001188,-1,0.08964407886789658,0.9985429298698731,0.0,0.5991257579219239,2.0,0.3333333333333333,1.7777777777777777,O3,de-protonated,,0.0,,C9 H16 O3,9.0,16.0,3.0,,,,,,
7,74,173.08202172383864,173.081938885555,173.08193247717907,25197304.748271484,46.16900556247224,1010933.345777138,133.90523848445224,-1,0.03702510038119318,0.4998756452697701,0.9203646850869849,0.6680712611966559,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,,,
8,75,173.11839122074724,173.118308366123,173.11831798652906,3700585.9225394465,43.06521424477839,1117133.534662687,19.706604272105064,-1,-0.055571277420085545,0.9994398131408643,0.0,0.5996638878845185,1.0,0.3333333333333333,2.0,O3,de-protonated,,0.0,,C9 H18 O3,9.0,18.0,3.0,,,,,,
9,78,175.06127286241772,175.0611891348673,175.06119703228907,4085865.952175786,67.43167898143932,1066510.4517920578,21.8083531609387,-1,-0.0451123487162867,0.9996307975944915,0.0,0.5997784785566949,2.0,0.7142857142857143,1.7142857142857142,O5,de-protonated,,0.0,,C7 H12 O5,7.0,12.0,5.0,,,,,,
