,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,34S
0,48,152.03543292748617,152.03531728166274,152.0353166364291,2058847.7642453162,30.136224119465297,1342906.332056655,10.872169484602107,-1,0.004243972185048598,0.9999967318786334,0.0,0.59999803912718,5.0,0.42857142857142855,1.0,N1 O3,de-protonated,,0.0,,C7 H7 O3 N1,7.0,7.0,3.0,1.0,,,,,
1,110,155.0714657702363,155.0713467851166,155.07136779314908,8638158.656943649,38.639142792503165,1062883.9143625812,44.61988632408958,-1,-0.13547331650883546,0.9966754074616431,0.0,0.5980052444769858,3.0,0.375,1.5,O3,de-protonated,,0.0,,C8 H12 O3,8.0,12.0,3.0,,,,,,
2,112,155.10784081682473,155.1077217915875,155.10775330249908,1645550.2227200842,30.56604369424677,1293685.7854332444,8.30076523752136,-1,-0.20315497395994433,0.9925392308277984,0.0,0.595523538496679,2.0,0.2222222222222222,1.7777777777777777,O2,de-protonated,,0.0,,C9 H16 O2,9.0,16.0,2.0,,,,,,
3,153,157.08711384937519,157.08699263733232,157.08701785760908,4444327.832660623,31.086847504823098,1165034.7049376932,22.76033168597339,-1,-0.1605497202269367,0.9953338604868599,0.0,0.5972003162921159,2.0,0.375,1.75,O3,de-protonated,,0.0,,C8 H14 O3,8.0,14.0,3.0,,,,,,
4,192,159.0299834212175,159.02986005515376,159.0298969033691,26613125.129813816,51.6863576624446,1073355.947462501,137.7560434118371,-1,-0.23170621403945768,0.49515286008652026,0.9390602752728998,0.6727158261610722,3.0,0.8333333333333334,1.3333333333333333,O5,de-protonated,,0.0,,C6 H8 O5,6.0,8.0,5.0,,,,,,
5,195,159.04529911377432,159.04517573070112,159.04515304465906,2303257.0162461814,13.469830070051719,1371640.5953716885,11.804368987617124,-1,0.14263900297464355,0.9963150719366167,0.0,0.59778904316197,7.0,0.2,0.8,O2,de-protonated,,0.0,,C10 H8 O2,10.0,8.0,2.0,,,,,,
6,198,159.0664121485583,159.06628874203642,159.0662824127191,19752317.51907904,70.30825143409992,1149642.8292471908,103.65220541389448,-1,0.03979043977012308,0.9997127573498384,0.0,0.599827654409903,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,,,
7,239,161.06095602946067,161.06083040382262,161.06080310911906,4420476.604919735,15.238886432106902,1467469.3711757392,22.666064320499963,-1,0.1694683189826033,0.9948024367509064,0.0,0.5968814620505438,6.0,0.2,1.0,O2,de-protonated,,0.0,,C10 H10 O2,10.0,10.0,2.0,,,,,,
8,241,161.08208019769705,161.08195454851483,161.08193247717907,3566442.2148096706,26.582349062820054,1343090.770466628,18.434507025914943,-1,0.13701931324055772,0.9965992251224227,0.0,0.5979595350734536,1.0,0.5714285714285714,2.0,O4,de-protonated,,0.0,,C7 H14 O4,7.0,14.0,4.0,,,,,,
9,281,163.06132423900974,163.0611963799776,163.06119703228907,2900080.9331039824,47.017609587722966,1047874.8123031282,14.930903275819176,-1,-0.004000409028633808,0.9999970962314629,0.0,0.5999982577388777,1.0,0.8333333333333334,2.0,O5,de-protonated,,0.0,,C6 H12 O5,6.0,12.0,5.0,,,,,,
10,318,165.01948644941032,165.0193563965429,165.01933221933908,46397919.44622582,104.18372953554281,1253603.038482944,238.97824562686097,-1,0.14651134195706728,0.9978395250443521,0.9868383957866607,0.9934390733412755,6.0,0.5,0.75,O4,de-protonated,,0.0,,C8 H6 O4,8.0,6.0,4.0,,,,,,
11,325,165.09224896549492,165.0921188309635,165.09210323803907,4606603.758231121,38.59772643847619,1116571.9297009965,23.975333285408695,-1,0.09444985024345719,0.9983826465665493,0.0,0.5990295879399296,4.0,0.2,1.4,O2,de-protonated,,0.0,,C10 H14 O2,10.0,14.0,2.0,,,,,,
12,340,166.02282635125863,166.02269517139567,166.0226870544091,3303861.8298011823,62.41353998283513,945022.203804816,17.146186364444752,-1,0.04889082764531044,0.9995663748837823,0.9868383957866607,0.9944751832449337,6.0,0.5,0.75,13C1 O4,de-protonated,,1.0,318.0,C7 H6 O4 13C1,7.0,6.0,4.0,,,,1.0,,
13,343,166.0511036804286,166.05097246877486,166.0509667008891,2258774.882300141,23.79036730426487,1419899.5575855807,11.563463498073919,-1,0.03473563497897008,0.9997810944493472,0.0,0.5998686566696083,5.0,0.375,1.125,N1 O3,de-protonated,,0.0,,C8 H9 O3 N1,8.0,9.0,3.0,1.0,,,,,
14,355,166.99874674900832,166.9986144710638,166.99859677444908,7028110.054965429,30.967605210159423,1230406.2607411174,36.219616645235156,-1,0.10596864321739967,0.9979645229861033,0.0,0.5987787137916619,6.0,0.7142857142857143,0.5714285714285714,O5,de-protonated,,0.0,,C7 H4 O5,7.0,4.0,5.0,,,,,,
15,366,167.07150654359646,167.07137418370996,167.07136779314908,14786638.770012561,126.97852274574196,933101.8081669325,76.20992790940745,-1,0.03825048521743606,0.9997345577321569,0.0,0.5998407346392941,4.0,0.3333333333333333,1.3333333333333333,O3,de-protonated,,0.0,,C9 H12 O3,9.0,12.0,3.0,,,,,,
