,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
0,12,153.09215223698752,153.0921159024747,153.09210323803907,3037244.3458033875,28.235396002950846,1207502.710977113,16.9415699801387,-1,0.08272429046238679,0.9987590613131786,0.0,0.5992554367879072,3.0,0.2222222222222222,1.5555555555555556,O2,de-protonated,,0.0,,C9 H14 O2,9.0,14.0,2.0,,,,,,,,
1,24,155.14418970405134,155.14415296569095,155.14413881184907,3410494.7183068683,33.825173386630865,1084651.6439465315,18.889906514536673,-1,0.09123027130078269,0.9984909491699963,0.0,0.5990945695019977,1.0,0.1,2.0,O1,de-protonated,,0.0,,C10 H20 O1,10.0,20.0,1.0,,,,,,,,
2,28,156.066659222598,156.06662230269265,156.06661676534907,1510582.8852663739,39.54771507809075,1216756.0051163298,8.330818285012024,-1,0.03548064087977772,0.9997716047120214,0.0,0.5998629628272129,3.0,0.42857142857142855,1.5714285714285714,N1 O3,de-protonated,,0.0,,C7 H11 O3 N1,7.0,11.0,3.0,1.0,,,,,,,
3,38,159.02995541682776,159.02991791373623,159.0298969033691,1494719.36544722,36.55082198922841,1252148.988690522,8.269232934786801,-1,0.13211583195418614,0.9968378970322667,0.0,0.59810273821936,3.0,0.8333333333333334,1.3333333333333333,O5,de-protonated,,0.0,,C6 H8 O5,6.0,8.0,5.0,,,,,,,,
4,39,159.10271229442395,159.10267477701365,159.1026679220691,13740907.78244775,57.93060574033149,1021873.891482407,75.82836213185676,-1,0.043085038410617685,0.9996632297973989,0.0,0.5997979378784393,1.0,0.375,2.0,O3,de-protonated,,0.0,,C8 H16 O3,8.0,16.0,3.0,,,,,,,,
5,44,161.04558221059477,161.04554431082144,161.04554696782907,1676236.537890546,33.6038351135784,1141419.0914718234,9.500939939291268,-1,-0.0164984855357718,0.9999506108827371,0.0,0.5999703665296422,2.0,0.8333333333333334,1.6666666666666667,O5,de-protonated,,0.0,,C6 H10 O5,6.0,10.0,5.0,,,,,,,,
6,69,167.07142123212267,167.0713821464449,167.07136779314908,3722928.2637424166,43.10636661526782,1153569.6062366038,20.25598155589617,-1,0.08591116487743652,0.9986616729144381,0.0,0.5991970037486628,4.0,0.3333333333333333,1.3333333333333333,O3,de-protonated,,0.0,,C9 H12 O3,9.0,12.0,3.0,,,,,,,,
7,78,169.0506646820268,169.0506252068276,169.05063234825906,3377068.1660679756,41.34344984598369,967234.0036921198,18.51479574498304,-1,-0.042244334542355905,0.9996762420346339,0.0,0.5998057452207803,4.0,0.5,1.25,O4,de-protonated,,0.0,,C8 H10 O4,8.0,10.0,4.0,,,,,,,,
8,80,169.12345237803703,169.12341288851297,169.12340336695908,6673144.589970556,58.92474719348096,1007333.5245309204,36.72726340704226,-1,0.056299445862856505,0.9994250405876198,0.0,0.5996550243525719,2.0,0.2,1.8,O2,de-protonated,,0.0,,C10 H18 O2,10.0,18.0,2.0,,,,,,,,
9,81,169.15984541875343,169.1598059220671,169.15978887630908,1516005.5914212936,42.781361592282664,1320124.9231770802,8.330818285012024,-1,0.10076719852525397,0.9981592611460864,0.0,0.5988955566876518,1.0,0.09090909090909091,2.0,O1,de-protonated,,0.0,,C11 H22 O1,11.0,22.0,1.0,,,,,,,,
