,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,33S,34S
0,42,152.03542717021836,152.03532961454687,152.0353166364291,2031365.6227453966,38.960371034207334,1533844.6556834155,10.506479835997734,-1,0.08536252015368384,0.9986787006839228,0.0,0.5992072204103537,5.0,0.42857142857142855,1.0,N1 O3,de-protonated,,0.0,,C7 H7 O3 N1,7.0,7.0,3.0,1.0,,,,,,
1,92,154.9986865142789,154.99858569418132,154.99859677444908,19427778.279377293,66.9918817937017,953769.5992818001,100.84557895996242,-1,-0.07148624567432015,0.9990731755721223,0.0,0.5994439053432733,5.0,0.8333333333333334,0.6666666666666666,O5,de-protonated,,0.0,,C6 H4 O5,6.0,4.0,5.0,,,,,,,
2,95,155.03505772118248,155.03495686093083,155.03498228379908,30089758.072725,56.43323668104587,977315.1684066702,157.37896205375833,-1,-0.1639814954884013,0.9944933769938429,0.9837263327162095,0.9901865592827894,4.0,0.5714285714285714,1.1428571428571428,O4,de-protonated,,0.0,,C7 H8 O4,7.0,8.0,4.0,,,,,,,
3,100,155.0714596841034,155.07135878366157,155.07136779314908,8525654.462748833,17.479028605820794,987024.5021715375,43.418469589316054,-1,-0.05809897495316545,0.999387709138843,0.0,0.5996326254833058,3.0,0.375,1.5,O3,de-protonated,,0.0,,C8 H12 O3,8.0,12.0,3.0,,,,,,,
4,102,155.1078911152891,155.1077901746225,155.10775330249908,1628643.147108517,9.72181068960953,1583443.0628419374,8.376085803970497,-1,0.23771940880887169,0.9897986314371969,0.0,0.5938791788623181,2.0,0.2222222222222222,1.7777777777777777,O2,de-protonated,,0.0,,C9 H16 O2,9.0,16.0,2.0,,,,,,,
5,120,156.0384103256463,156.03830835685943,156.03833711886907,1721223.4996228002,12.848932230386758,969711.5258410003,8.838537191410557,-1,-0.18432655823875613,0.9938540129365596,0.9837263327162095,0.9898029408484195,4.0,0.5714285714285714,1.1428571428571428,13C1 O4,de-protonated,,1.0,95.0,C6 H8 O4 13C1,6.0,8.0,4.0,,,,1.0,,,
6,174,159.02996697236685,159.02986168895464,159.0298969033691,23083645.188289054,49.24869244420594,948071.1712708812,115.72716068612341,-1,-0.22143266856460198,0.9911425906196115,0.0,0.5946855543717668,3.0,0.8333333333333334,1.3333333333333333,O5,de-protonated,,0.0,,C6 H8 O5,6.0,8.0,5.0,,,,,,,
7,180,159.06640077500964,159.06629545114166,159.0662824127191,17062788.794711575,63.46405447722494,971151.4682308211,86.92007650671123,-1,0.08196848739938753,0.9987816194209768,0.0,0.5992689716525861,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,,,,
8,183,159.1027784040189,159.10267303975544,159.1026679220691,1890663.5165075485,12.788247673206035,1523991.0550946803,9.64393005717695,-1,0.032165936770949095,0.9998122821936356,0.0,0.5998873693161814,1.0,0.375,2.0,O3,de-protonated,,0.0,,C8 H16 O3,8.0,16.0,3.0,,,,,,,
9,260,163.06132779844748,163.061218025902,163.06119703228907,3244588.4708403875,28.668789899220343,1385146.0070479661,16.544328287743216,-1,0.12874683442324206,0.9969968708552605,0.0,0.5981981225131563,1.0,0.8333333333333334,2.0,O5,de-protonated,,0.0,,C6 H12 O5,6.0,12.0,5.0,,,,,,,
