,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C
0,4,153.01946053783547,153.01933593727773,153.01933221933908,8309941.169710929,56.82560857920887,1198990.3938463565,43.333643761017655,-1,0.024297182584133853,0.9998928869459098,0.0,0.5999357321675459,5.0,0.5714285714285714,0.8571428571428571,O4,de-protonated,,0.0,,C7 H6 O4,7.0,6.0,4.0,,,,
1,5,153.0922177808172,153.09209312501775,153.09210323803907,1768562.3794330328,42.55905234969377,1488415.8465591806,9.254088721270469,-1,-0.06605841257810174,0.9992085232335286,0.0,0.5995251139401171,3.0,0.2222222222222222,1.5555555555555556,O2,de-protonated,,0.0,,C9 H14 O2,9.0,14.0,2.0,,,,
2,9,155.07148879139547,155.07136263285656,155.07136779314908,3782903.173552507,26.003601160016647,1174081.2794276318,19.522324151721264,-1,-0.0332768878632159,0.9997990927520888,0.0,0.5998794556512532,3.0,0.375,1.5,O3,de-protonated,,0.0,,C8 H12 O3,8.0,12.0,3.0,,,,
3,13,157.08713585332066,157.08700816451,157.08701785760908,2152450.1839327016,42.07628125758352,1133584.466889764,11.403868464168346,-1,-0.0617052842432378,0.9993093650853923,0.0,0.5995856190512353,2.0,0.375,1.75,O3,de-protonated,,0.0,,C8 H14 O3,8.0,14.0,3.0,,,,
4,15,159.10279472437432,159.10266550536952,159.1026679220691,3322320.6032037637,42.398769577048924,1117451.314333575,17.05034154809422,-1,-0.01518956032898472,0.9999581365376818,0.0,0.5999748819226091,1.0,0.375,2.0,O3,de-protonated,,0.0,,C8 H16 O3,8.0,16.0,3.0,,,,
5,25,163.04021546967118,163.04008326181008,163.04006766422907,13209761.370374655,56.533141067003044,1209650.9458281123,68.5816712083195,-1,0.09566716473513606,0.9983407222962557,0.0,0.5990044333777534,6.0,0.3333333333333333,0.8888888888888888,O3,de-protonated,,0.0,,C9 H8 O3,9.0,8.0,3.0,,,,
6,29,165.01947907140251,165.01934536122715,165.01933221933908,14402473.302838473,80.82295371179165,1005792.2332178721,74.75106368916649,-1,0.07963847567922529,0.9988498623063204,0.0,0.5993099173837922,6.0,0.5,0.75,O4,de-protonated,,0.0,,C8 H6 O4,8.0,6.0,4.0,,,,
7,32,165.05586200606217,165.05572826827196,165.05571772868907,3137085.7221146347,19.832126975292354,1231042.677728727,16.38480777019463,-1,0.06385469726979255,0.9992604306849205,0.0,0.5995562584109523,5.0,0.3333333333333333,1.1111111111111112,O3,de-protonated,,0.0,,C9 H10 O3,9.0,10.0,3.0,,,,
8,35,166.01472309291916,166.0145886273584,166.0145811915391,1818165.7635846552,46.984678561499486,1091885.1001748983,9.465369285683037,-1,0.044790157861995396,0.9996360514679234,0.0,0.5997816308807541,6.0,0.5714285714285714,0.7142857142857143,N1 O4,de-protonated,,0.0,,C7 H5 O4 N1,7.0,5.0,4.0,1.0,,,
9,41,167.03511531109592,167.0349800710843,167.03498228379908,10375605.583216058,52.4528052407228,1034962.7711310043,54.25684894114741,-1,-0.013247014161929051,0.9999681592773928,0.0,0.5999808955664356,5.0,0.5,1.0,O4,de-protonated,,0.0,,C8 H8 O4,8.0,8.0,4.0,,,,
10,42,168.03032598091255,168.0301899855836,168.03023125599907,2315869.0285172323,46.32446115846719,1038463.3691901191,12.058838213847306,-1,-0.24561303735073897,0.9891136591564559,0.0,0.5934681954938735,5.0,0.5714285714285714,1.0,N1 O4,de-protonated,,0.0,,C7 H7 O4 N1,7.0,7.0,4.0,1.0,,,
11,47,169.05078931404088,169.05065254425094,169.05063234825906,4584622.707674762,51.394588126318055,1126408.5412267728,23.832447665737647,-1,0.11946711821899682,0.9974136435581429,0.0,0.5984481861348857,4.0,0.5,1.25,O4,de-protonated,,0.0,,C8 H10 O4,8.0,10.0,4.0,,,,
12,51,170.9758972023314,170.9757589715783,170.9757533292791,2089723.9285285065,20.01314057536878,1168213.2553829197,10.95489726479164,-1,0.033000581103731254,0.9998024149439707,0.0,0.5998814489663824,5.0,0.6666666666666666,0.6666666666666666,S1 O4,de-protonated,,0.0,,C6 H4 O4 S1,6.0,4.0,4.0,,,1.0,
13,53,171.03003710976498,171.02989883792628,171.0298969033691,1702774.2304097158,31.97345469493933,1170416.7511293578,8.916039818210361,-1,0.011311222336119342,0.9999767850439782,0.0,0.5999860710263869,4.0,0.7142857142857143,1.1428571428571428,O5,de-protonated,,0.0,,C7 H8 O5,7.0,8.0,5.0,,,,
14,54,171.06642929895168,171.06629099949578,171.0662824127191,18482069.09617639,61.833715523996354,1058451.058964394,94.90722953412545,-1,0.050195611700431034,0.49977146324130706,0.9203646850869849,0.6680087519795782,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,
15,55,171.10282191423116,171.10268358715774,171.1026679220691,2278554.162173707,49.59039228964688,1386022.6637698268,11.80001952244191,-1,0.0915537369700128,0.9984802373806865,0.0,0.5990881424284119,2.0,0.3333333333333333,1.7777777777777777,O3,de-protonated,,0.0,,C9 H16 O3,9.0,16.0,3.0,,,,
16,58,173.04570167846882,173.0455618770305,173.04554696782907,2626528.965932031,53.834665365640845,1065461.3219808429,13.680416545713763,-1,0.08615767178580969,0.9986539868882994,0.0,0.5991923921329796,3.0,0.7142857142857143,1.4285714285714286,O5,de-protonated,,0.0,,C7 H10 O5,7.0,10.0,5.0,,,,
17,59,173.08208504979737,173.08194522075013,173.08193247717907,33254731.003090642,50.05356172817654,1019394.6195986923,172.91201391524547,-1,0.0736273906814714,0.9994956882790385,0.995794175703366,0.9980150832487695,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,
18,60,173.1184524186652,173.1183125620212,173.11831798652906,3129970.376496984,39.82590297536603,1058814.9825824231,16.29501353031929,-1,-0.03133410678114567,0.9998218647851174,0.0,0.5998931188710704,1.0,0.3333333333333333,2.0,O3,de-protonated,,0.0,,C9 H18 O3,9.0,18.0,3.0,,,,
19,61,174.08542583991004,174.08528524950444,174.08528731224908,2713029.8821883937,21.474933760614476,1270202.7948441987,13.933953223008846,-1,-0.01184904637037008,0.9999745249471019,0.995794175703366,0.9983023852496076,2.0,0.5,1.75,13C1 O4,de-protonated,,1.0,59.0,C7 H14 O4 13C1,7.0,14.0,4.0,,,,1.0
