,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C
0,11,159.06644306416754,159.06629143702585,159.0662824127191,1913361.570868612,33.66253710894778,1294297.2488690657,10.276890979926849,-1,0.05673299599584376,0.9994161538049896,0.0,0.5996496922829937,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,
1,42,171.0664530298161,171.06629045813946,171.0662824127191,1655727.1461081633,38.57262072376764,995963.1802504745,8.711964096013341,-1,0.04703101195109601,0.9995987312619629,0.0,0.5997592387571777,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,
2,48,173.08210617578717,173.08194176730314,173.08193247717907,2684847.76870666,77.53101376494885,1096505.7897166081,14.433896070185066,-1,0.05367471888126677,0.9994773873994124,0.0,0.5996864324396474,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,
3,60,179.07154476680233,179.071374902955,179.07136779314908,1981806.6341756617,36.65418538134493,1175889.9511680598,10.567289783127293,-1,0.039703756153264436,0.9997140073261385,0.0,0.5998284043956831,5.0,0.3,1.2,O3,de-protonated,,0.0,,C10 H12 O3,10.0,12.0,3.0,,,,
4,67,187.09776756212185,187.09759039394436,187.0975825416391,5247540.76730276,66.28451060981598,948886.8594210038,28.222461466591366,-1,0.04196903643904998,0.9996804473481986,0.0,0.5998082684089191,2.0,0.4444444444444444,1.7777777777777777,O4,de-protonated,,0.0,,C9 H16 O4,9.0,16.0,4.0,,,,
5,80,193.08720392234991,193.0870213080619,193.08701785760908,2909138.274065796,24.244093037476375,1084909.5820271296,15.256692679252993,-1,0.01786993688805,0.9999420588269375,0.0,0.5999652352961625,5.0,0.2727272727272727,1.2727272727272727,O3,de-protonated,,0.0,,C11 H14 O3,11.0,14.0,3.0,,,,
6,92,199.0977679110385,199.09757983540302,199.0975825416391,2500221.5921661174,62.95066680271585,958462.8956859355,13.283056368612934,-1,-0.01359251096772983,0.9999664767641212,0.0,0.5999798860584727,3.0,0.4,1.6,O4,de-protonated,,0.0,,C10 H16 O4,10.0,16.0,4.0,,,,
7,98,201.0770480372704,201.0768581640833,201.07684709674908,1684938.8505294323,93.6925010745575,944675.6930990814,8.92169656499144,-1,0.055040321018144676,0.9994504636977909,0.0,0.5996702782186745,3.0,0.5555555555555556,1.5555555555555556,O5,de-protonated,,0.0,,C9 H14 O5,9.0,14.0,5.0,,,,
8,130,211.13417355408302,211.13397455383975,211.13396805098907,1603888.4966257708,65.19750923877638,774229.0575523683,8.53449816072418,-1,0.030799642241718782,0.9998278893296851,0.0,0.599896733597811,3.0,0.25,1.6666666666666667,O3,de-protonated,,0.0,,C12 H20 O3,12.0,20.0,3.0,,,,
9,145,221.08212194422075,221.08191392696716,221.08193247717907,2052640.7179764258,73.20423331631946,953298.8908202244,10.717866940342338,-1,-0.08390650333733846,0.9987233621737517,0.0,0.599234017304251,6.0,0.3333333333333333,1.1666666666666667,O4,de-protonated,,0.0,,C12 H14 O4,12.0,14.0,4.0,,,,
