,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C
0,5,155.0714715392068,155.07134762919227,155.07136779314908,2212412.49553823,16.467742045074996,1103507.0541152337,11.926567840951718,-1,-0.13003017314972914,0.9969367947838416,0.0,0.5981620768703049,3.0,0.375,1.5,O3,de-protonated,,0.0,,C8 H12 O3,8.0,12.0,3.0,,,,
1,8,159.06641582418558,159.06628904657202,159.0662824127191,10131278.885683203,36.43134346501547,1066060.909111217,54.834047602995085,-1,0.0417049599262893,0.9996844554263863,0.0,0.5998106732558317,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,
2,18,163.0402047938105,163.0400751663348,163.04006766422907,2973297.800961674,40.2887250188226,1162408.4243551495,15.999582834773557,-1,0.04601387759814006,0.99961589666878,0.0,0.599769538001268,6.0,0.3333333333333333,0.8888888888888888,O3,de-protonated,,0.0,,C9 H8 O3,9.0,8.0,3.0,,,,
3,23,165.0194764398993,165.0193453939087,165.01933221933908,10182425.04052002,52.123620799049824,970677.6532772237,54.184098401853305,-1,0.0798365225068321,0.9988441381261629,0.0,0.5993064828756978,6.0,0.5,0.75,O4,de-protonated,,0.0,,C8 H6 O4,8.0,6.0,4.0,,,,
4,44,171.0664223347675,171.06628695893022,171.0662824127191,12970829.69992483,65.35007876064367,1075706.3004611996,68.98127521451457,-1,0.026575728811655996,0.9998718565631781,0.0,0.5999231139379069,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,
5,48,173.0820695763424,173.0819327585333,173.08193247717907,8825953.347453138,54.276443965415865,982933.8175696406,47.012992215922296,-1,0.0016255551826221436,0.999999520534726,0.0,0.5999997123208356,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,
6,54,177.055838350847,177.05569869216515,177.05571772868907,1903956.9300205195,69.84969169627746,964037.086496029,10.07692073936906,-1,-0.1075171373601334,0.9979046633012024,0.0,0.5987427979807214,6.0,0.3,1.0,O3,de-protonated,,0.0,,C10 H10 O3,10.0,10.0,3.0,,,,
7,57,179.07151064775005,179.0713695490239,179.07136779314908,4962737.312193404,28.510656030527635,1057068.5200787983,26.604587300070314,-1,0.00980544707623289,0.9999825544430079,0.0,0.5999895326658047,5.0,0.3,1.2,O3,de-protonated,,0.0,,C10 H12 O3,10.0,12.0,3.0,,,,
8,58,183.06641750952963,183.0662735586816,183.0662824127191,3531556.0180472485,65.81692188237108,978344.9392309551,18.89727302319734,-1,-0.04836520077033399,0.9995756466308056,0.0,0.5997453879784833,4.0,0.4444444444444444,1.3333333333333333,O4,de-protonated,,0.0,,C9 H12 O4,9.0,12.0,4.0,,,,
9,61,185.0820786350839,185.08193324615186,185.08193247717907,5066291.107048083,49.860204442551144,1012077.2517743538,27.438688774868936,-1,0.004154769653945969,0.9999968678175636,0.0,0.5999981206905382,3.0,0.4444444444444444,1.5555555555555556,O4,de-protonated,,0.0,,C9 H14 O4,9.0,14.0,4.0,,,,
10,64,187.0613232081094,187.06117640771205,187.06119703228907,4989128.728714625,79.86362914235171,996291.4832735929,26.821237033784243,-1,-0.11025577375686121,0.9977966797479365,0.0,0.5986780078487619,3.0,0.625,1.5,O5,de-protonated,,0.0,,C8 H12 O5,8.0,12.0,5.0,,,,
11,65,187.0977270482752,187.09758022192298,187.0975825416391,18576176.091207854,64.18401242656972,906003.4967079775,98.35897910612314,-1,-0.01239842912698054,0.4999860539536756,0.9112932940309506,0.6645089499845857,2.0,0.4444444444444444,1.7777777777777777,O4,de-protonated,,0.0,,C9 H16 O4,9.0,16.0,4.0,,,,
12,67,189.07698213628103,189.07683389909886,189.07684709674908,2979711.242972723,83.92037535065606,978968.4330615238,15.950836644687923,-1,-0.06980045638346159,0.9991163538274284,0.0,0.599469812296457,2.0,0.625,1.75,O5,de-protonated,,0.0,,C8 H14 O5,8.0,14.0,5.0,,,,
13,77,193.08716009718776,193.0870090034517,193.08701785760908,5688282.773447285,38.35749380740155,930880.2305080006,30.5476124536638,-1,-0.04585578815282986,0.9996185309526123,0.0,0.5997711185715674,5.0,0.2727272727272727,1.2727272727272727,O3,de-protonated,,0.0,,C11 H14 O3,11.0,14.0,3.0,,,,
14,82,195.1392014060267,195.13904885157066,195.13905343141906,2657563.9759577303,77.2819528474436,887776.8777799847,14.028070257976815,-1,-0.02346966592963049,0.9999000584821389,0.0,0.5999400350892833,3.0,0.16666666666666666,1.6666666666666667,O2,de-protonated,,0.0,,C12 H20 O2,12.0,20.0,2.0,,,,
15,89,197.05856367890968,197.05840975879374,197.0584341273991,8011679.980252719,129.66957578227198,928225.6856097345,42.37668791444425,-1,-0.12366182376396406,0.997229088016428,0.0,0.5983374528098567,0.0,0.8333333333333334,2.5,P1 O5,de-protonated,,0.0,,C6 H15 O5 P1,6.0,15.0,5.0,,1.0,,
16,90,197.0820835003945,197.08192956354748,197.08193247717907,3652370.6421908773,62.46339752339015,981095.747559656,19.151836460311205,-1,-0.014783859451729438,0.999960342907809,0.0,0.5999762057446854,4.0,0.4,1.4,O4,de-protonated,,0.0,,C10 H14 O4,10.0,14.0,4.0,,,,
17,95,199.06134413447816,199.06118878998177,199.06119703228907,3356730.108121958,47.96127390017601,896751.9039821656,18.063171548398717,-1,-0.041405896404390366,0.999688963997739,0.0,0.5998133783986433,4.0,0.5555555555555556,1.3333333333333333,O5,de-protonated,,0.0,,C9 H12 O5,9.0,12.0,5.0,,,,
18,96,199.0977345963068,199.09757922593542,199.0975825416391,4687304.941753858,48.50442416522708,924958.2089525555,25.32635387115814,-1,-0.016653661171023338,0.9999496774836686,0.0,0.5999698064902012,3.0,0.4,1.6,O4,de-protonated,,0.0,,C10 H16 O4,10.0,16.0,4.0,,,,
19,102,201.0769948407205,201.07683806334288,201.07684709674908,8147127.078582106,97.40928836183195,906090.4147654652,42.864149815300586,-1,-0.044925143452721326,0.999633854876958,0.0,0.5997803129261747,3.0,0.5555555555555556,1.5555555555555556,O5,de-protonated,,0.0,,C9 H14 O5,9.0,14.0,5.0,,,,
20,103,201.11338263113055,201.11322582789168,201.11323260609907,5591053.820403618,90.4844590072843,938576.937796468,30.29846525989278,-1,-0.033703438132164094,0.9997939097316919,0.0,0.5998763458390152,2.0,0.4,1.8,O4,de-protonated,,0.0,,C10 H18 O4,10.0,18.0,4.0,,,,
