,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,34S
0,1,151.07655647311412,151.07643403842997,151.07645317357907,1516157.2655496234,31.60441171006055,1165239.630113848,8.323845834081483,-1,-0.12665871286097632,0.9970933547309967,0.0,0.598256012838598,4.0,0.2222222222222222,1.3333333333333333,O2,de-protonated,,0.0,,C9 H12 O2,9.0,12.0,2.0,,,,,,
1,7,155.03511616215295,155.0349906491017,155.03498228379908,1806100.6442154534,25.296246986216147,1321990.7587009543,9.734106941642608,-1,0.053957516531218115,0.9994718673399214,0.0,0.5996831204039529,4.0,0.5714285714285714,1.1428571428571428,O4,de-protonated,,0.0,,C7 H8 O4,7.0,8.0,4.0,,,,,,
2,14,157.08715610563866,157.0870289968221,157.08701785760908,2333263.7820304106,29.94818970930933,1110648.6257329383,12.560137989216269,-1,0.0709110987096773,0.9990880224479396,0.0,0.5994528134687638,2.0,0.375,1.75,O3,de-protonated,,0.0,,C8 H14 O3,8.0,14.0,3.0,,,,,,
3,17,159.0664223323411,159.0662936843516,159.0662824127191,22819105.60464617,39.659138543341044,1080330.562085643,124.63182538071442,-1,0.07086123049499787,0.49954465205444765,0.929618492764518,0.6715741883384758,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,,,
4,18,159.10280428484302,159.10267560856116,159.1026679220691,5439039.834335769,13.725410567260587,1191208.9444997073,29.2408826520877,-1,0.048311522169947434,0.9995765878543957,0.0,0.5997459527126374,1.0,0.375,2.0,O3,de-protonated,,0.0,,C8 H16 O3,8.0,16.0,3.0,,,,,,
5,31,163.04020665683873,163.04007491864274,163.04006766422907,3153134.5900253947,69.2124369874979,1106776.4777131279,17.297733897429424,-1,0.044494667955843226,0.9996408368551275,0.0,0.5997845021130764,6.0,0.3333333333333333,0.8888888888888888,O3,de-protonated,,0.0,,C9 H8 O3,9.0,8.0,3.0,,,,,,
6,45,167.07152216993768,167.07138729679616,167.07136779314908,3769335.1121991808,59.96720828666427,1092169.9957454859,20.16232677216296,-1,0.11673841747385591,0.9975302977929931,0.0,0.5985181786757958,4.0,0.3333333333333333,1.3333333333333333,O3,de-protonated,,0.0,,C9 H12 O3,9.0,12.0,3.0,,,,,,
7,52,169.05079070326727,169.050654290951,169.05063234825906,7132396.664352447,47.826576310645656,1153368.1486489396,38.6058978194858,-1,0.12979952597354574,0.9969476355692324,0.0,0.5981685813415394,4.0,0.5,1.25,O4,de-protonated,,0.0,,C8 H10 O4,8.0,10.0,4.0,,,,,,
8,53,169.08714600680057,169.08700956621266,169.08701785760908,7788207.721067067,62.323040745489415,1051165.3149392307,41.66880866247011,-1,-0.04903626861118416,0.9995637917045991,0.0,0.5997382750227594,3.0,0.3333333333333333,1.5555555555555556,O3,de-protonated,,0.0,,C9 H14 O3,9.0,14.0,3.0,,,,,,
9,60,171.06642893926323,171.06629095948938,171.0662824127191,58227387.39294627,84.0942020667961,1071400.0005876545,315.3696401783566,-1,0.0499617468053156,0.49977358733712374,0.9203646850869849,0.6680100264370682,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,,,
10,61,171.10282062268345,171.10268261460968,171.1026679220691,3675220.321489704,45.05458326402177,1251498.390500418,19.941973474106533,-1,0.08586973404356356,0.9986629625619861,0.0,0.5991977775371916,2.0,0.3333333333333333,1.7777777777777777,O3,de-protonated,,0.0,,C9 H16 O3,9.0,16.0,3.0,,,,,,
11,65,173.04568434897385,173.04554483003548,173.04554696782907,3100402.5661762217,57.08754815393026,1006278.7113567359,16.66972699796861,-1,-0.012353935851327793,0.9999723077337394,0.0,0.5999833846402436,3.0,0.7142857142857143,1.4285714285714286,O5,de-protonated,,0.0,,C7 H10 O5,7.0,10.0,5.0,,,,,,
12,66,173.11846243841808,173.11832286288393,173.11831798652906,4867479.224131724,54.27231103563219,980653.2809628972,26.816996373467017,-1,0.02816775787511207,0.999856044877029,0.0,0.5999136269262173,1.0,0.3333333333333333,2.0,O3,de-protonated,,0.0,,C9 H18 O3,9.0,18.0,3.0,,,,,,
13,70,175.06133083104302,175.06118974464064,175.06119703228907,4574726.27621501,67.956597072232,1000615.8035242541,24.558375068388653,-1,-0.04162914771036385,0.9996856014115533,0.0,0.599811360846932,2.0,0.7142857142857143,1.7142857142857142,O5,de-protonated,,0.0,,C7 H12 O5,7.0,12.0,5.0,,,,,,
14,71,175.09771324680852,175.09757213211344,175.0975825416391,4145167.8147167186,62.64091281235916,1090359.6336819893,22.23364777389336,-1,-0.0594498536550359,0.9993589141950001,0.0,0.599615348517,1.0,0.5,2.0,O4,de-protonated,,0.0,,C8 H16 O4,8.0,16.0,4.0,,,,,,
15,73,176.05661365646304,176.0564717960807,176.0564460044891,2269380.8445757036,37.20268218532138,1321307.7591699334,12.615226313730375,-1,0.14649615050283932,0.9961134797317766,0.0,0.5976680878390659,2.0,0.8333333333333334,1.8333333333333333,N1 O5,de-protonated,,0.0,,C6 H11 O5 N1,6.0,11.0,5.0,1.0,,,,,
16,76,177.09226191584776,177.09211925009535,177.09210323803907,3691729.205551401,88.31239734275438,1106009.5007802045,20.140291442357316,-1,0.09041654588455214,0.9985177291012879,0.0,0.5991106374607728,5.0,0.18181818181818182,1.2727272727272727,O2,de-protonated,,0.0,,C11 H14 O2,11.0,14.0,2.0,,,,,,
