,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,17O,18O,34S
0,15,151.00384678446284,151.00366652140283,151.00368215487907,3268164.907386221,5.445453630466121,1440436.2976854192,16.98225456231535,-1,-0.1035304306154182,0.9980570231998362,0.0,0.5988342139199018,6.0,0.5714285714285714,0.5714285714285714,O4,de-protonated,,0.0,,C7 H4 O4,7.0,4.0,4.0,,,,,,,
1,39,152.03549427616187,152.03531263875465,152.0353166364291,1988550.0247419288,6.708949977921861,1511112.137245332,10.366339013224756,-1,-0.026294380337498285,0.9998745552564727,0.0,0.5999247331538836,5.0,0.42857142857142855,1.0,N1 O3,de-protonated,,0.0,,C7 H7 O3 N1,7.0,7.0,3.0,1.0,,,,,,
2,68,153.09225880739666,153.09207575969788,153.09210323803907,2707233.233937533,28.840752726472655,1304822.5227659435,14.00087860627612,-1,-0.1794889521675332,0.9941714498899609,0.0,0.5965028699339765,3.0,0.2222222222222222,1.5555555555555556,O2,de-protonated,,0.0,,C9 H14 O2,9.0,14.0,2.0,,,,,,,
3,100,154.99875610778045,154.99857050943214,154.99859677444908,24934718.459522337,80.22750694743333,1087711.745190696,131.13840247624162,-1,-0.16945325627706773,0.49740167912304767,0.9390602752728998,0.6740651175829886,5.0,0.8333333333333334,0.6666666666666666,O5,de-protonated,,0.0,,C6 H4 O5,6.0,4.0,5.0,,,,,,,
4,104,155.0351301450172,155.03494449792558,155.03498228379908,25384742.52062514,59.47512408589513,1099076.7605613004,131.81263590799608,-1,-0.24372482226590317,0.49463975099598817,0.929618492764518,0.6686312477034001,4.0,0.5714285714285714,1.1428571428571428,O4,de-protonated,,0.0,,C7 H8 O4,7.0,8.0,4.0,,,,,,,
5,108,155.07152018967068,155.07133449381126,155.07136779314908,6991404.113788586,49.37134781094554,1012894.6969386041,36.17683757257501,-1,-0.2147355652370954,0.991668058406539,0.0,0.5950008350439234,3.0,0.375,1.5,O3,de-protonated,,0.0,,C8 H12 O3,8.0,12.0,3.0,,,,,,,
6,188,159.0453482091555,159.04515716987368,159.04515304465906,2617602.800575586,54.742659714580036,1220494.3224182343,13.895529632564484,-1,0.02593738027945939,0.9998779382645249,0.0,0.5999267629587149,7.0,0.2,0.8,O2,de-protonated,,0.0,,C10 H8 O2,10.0,8.0,2.0,,,,,,,
7,232,161.082141812388,161.08194802054635,161.08193247717907,3252801.9475988448,18.565071755797508,1443757.683554667,17.456324944017705,-1,0.09649354861847176,0.9983119567385345,0.0,0.5989871740431206,1.0,0.5714285714285714,2.0,O4,de-protonated,,0.0,,C7 H14 O4,7.0,14.0,4.0,,,,,,,
8,271,163.0613964507206,163.06119997513267,163.06119703228907,2116939.26088022,13.36709448679031,963427.4268355116,10.924688573896415,-1,0.018047479395836497,0.9999409018202987,0.0,0.5999645410921792,1.0,0.8333333333333334,2.0,O5,de-protonated,,0.0,,C6 H12 O5,6.0,12.0,5.0,,,,,,,
9,306,165.01954822243306,165.01934908303605,165.01933221933908,48949207.60824471,76.3512968252528,967720.6616268528,254.86023720318423,-1,0.10219225071150545,0.49905343955849485,0.9203646850869849,0.6675779377698909,6.0,0.5,0.75,O4,de-protonated,,0.0,,C8 H6 O4,8.0,6.0,4.0,,,,,,,
10,314,165.09231887809855,165.09211963954024,165.09210323803907,4379023.534148555,26.219499206106732,1427597.4514260604,22.79751791119753,-1,0.09934758143398367,0.9982107146846267,0.0,0.5989264288107761,4.0,0.2,1.4,O2,de-protonated,,0.0,,C10 H14 O2,10.0,14.0,2.0,,,,,,,
11,333,166.06239685637078,166.06219629479264,166.06220009017906,1806377.974783865,36.468222724402224,1161599.3528228158,9.460337839304707,-1,-0.022855209778676572,0.9999052228444423,0.0,0.5999431337066653,5.0,0.2857142857142857,1.2857142857142858,N3 O2,de-protonated,,0.0,,C7 H9 O2 N3,7.0,9.0,2.0,3.0,,,,,,
12,346,166.99881475296817,166.9986129122676,166.99859677444908,6573585.593175704,56.37872580451545,964960.25099107,33.43776425607253,-1,0.0966344557212583,0.9983070273032785,0.0,0.5989842163819671,6.0,0.7142857142857143,0.5714285714285714,O5,de-protonated,,0.0,,C7 H4 O5,7.0,4.0,5.0,,,,,,,
13,356,167.07155289203368,167.07135095189207,167.07136779314908,12398082.056775903,67.1972537663488,915735.9336825195,64.55785109048912,-1,-0.1008027720732987,0.9981579624533787,0.0,0.5988947774720272,4.0,0.3333333333333333,1.3333333333333333,O3,de-protonated,,0.0,,C9 H12 O3,9.0,12.0,3.0,,,,,,,
14,358,167.1079160723587,167.10771408250017,167.10775330249908,2820131.9128781357,26.204182042774118,1176723.228584777,14.706716730144064,-1,-0.23469885828559056,0.9900549438795379,0.0,0.5940329663277227,3.0,0.2,1.6,O2,de-protonated,,0.0,,C10 H16 O2,10.0,16.0,2.0,,,,,,,
15,388,169.05084673803876,169.05064208741442,169.05063234825906,24909371.55247209,60.79028074458123,961195.0657879374,130.21133150757925,-1,0.057610878020545535,0.9995283254249412,0.996129430930529,0.9981687676271763,4.0,0.5,1.25,O4,de-protonated,,0.0,,C8 H10 O4,8.0,10.0,4.0,,,,,,,
16,407,170.0460506577115,170.04584464090448,170.0458813204591,1972304.9029104998,63.6073071036247,1142993.5602697046,10.060826989461018,-1,-0.2157038696896331,0.9915930642003603,0.0,0.5949558385202162,4.0,0.5714285714285714,1.2857142857142858,N1 O4,de-protonated,,0.0,,C7 H9 O4 N1,7.0,9.0,4.0,1.0,,,,,,
17,409,170.05420058723325,170.05399455922907,170.05398718332907,2269604.4138025055,49.2681103449518,1173448.8206699018,11.8201548504453,-1,0.04337387273072228,0.9996587001424541,0.996129430930529,0.998246992457684,4.0,0.5,1.25,13C1 O4,de-protonated,,1.0,388.0,C7 H10 O4 13C1,7.0,10.0,4.0,,,,1.0,,,
18,426,171.02353778551677,171.02333042467794,171.02337222791905,2662783.4759993767,43.413833528025286,1321804.277382384,13.779645761481687,-1,-0.24442998973185387,0.9892177132834779,0.0,0.5935306279700867,4.0,0.3333333333333333,1.3333333333333333,N2 S1 O2,de-protonated,,0.0,,C6 H8 O2 N2 S1,6.0,8.0,2.0,2.0,,1.0,,,,
19,436,171.06646885816966,171.06626143825187,171.0662824127191,58962552.78558642,83.16298394730701,896608.6264551326,304.8377903319833,-1,-0.12261017731387067,0.498637976246466,0.9203646850869849,0.6673286597826735,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,,,,
20,439,171.10286563381177,171.10265816380388,171.1026679220691,5562050.132927386,25.82580201993963,961744.2650659755,28.770804720647163,-1,-0.05703163677075142,0.9994099927479797,0.0,0.5996459956487878,2.0,0.3333333333333333,1.7777777777777777,O3,de-protonated,,0.0,,C9 H16 O3,9.0,16.0,3.0,,,,,,,
21,478,173.08216239405164,173.08195219559724,173.08193247717907,8350257.037386509,31.780570407877335,1010420.7869287526,43.003451069088875,-1,0.11392534096846013,0.9976477514106434,0.0,0.598588650846386,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,,,,
22,479,173.11852750048473,173.1183172518188,173.11831798652906,1982614.2598311482,41.31462555364734,1123132.0720919045,10.47168798693639,-1,-0.0042439775515749996,0.9999967318703682,0.0,0.5999980391222209,1.0,0.3333333333333333,2.0,O3,de-protonated,,0.0,,C9 H18 O3,9.0,18.0,3.0,,,,,,,
23,512,175.00387152016597,175.00365866421245,175.00368215487907,2205370.1008562003,76.64686312914864,932130.5811063757,11.577852210908544,-1,-0.13422955638147163,0.9967360731305079,0.0,0.5980416438783047,8.0,0.4444444444444444,0.4444444444444444,O4,de-protonated,,0.0,,C9 H4 O4,9.0,4.0,4.0,,,,,,,
24,514,175.01680008704042,175.01658721318006,175.0165693144491,2642656.859936058,60.60008764050811,1142654.6173727107,13.558412916687256,-1,0.10226877963439279,0.9981040453351915,0.0,0.5988624272011148,3.0,0.6666666666666666,1.5,P1 O4,de-protonated,,0.0,,C6 H9 O4 P1,6.0,9.0,4.0,,1.0,,,,,
