,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C
0,11,159.06639176095365,159.0662884726921,159.0662824127191,4493335.510055121,57.755754500451786,1019720.1657331045,23.062448856766167,-1,0.038097156175935204,0.9997366812652814,0.0,0.5998420087591688,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,
1,23,165.01945692731718,165.01935005273762,165.01933221933908,5098772.345694802,68.04432497840716,985813.0135928992,26.246365501841968,-1,0.10806854145337162,0.9978831390481168,0.0,0.59872988342887,6.0,0.5,0.75,O4,de-protonated,,0.0,,C8 H6 O4,8.0,6.0,4.0,,,,
2,42,171.06640899535677,171.06629848257816,171.0662824127191,4464480.7727441825,110.41412334965321,1017184.9408297985,23.125289316866347,-1,0.09393937160045404,0.9984000681758706,0.0,0.5990400409055223,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,
3,46,173.0820536960178,173.08194197155782,173.08193247717907,7470516.727391332,55.01647803132352,1015091.8221011548,38.79351070184463,-1,0.054854822931892144,0.9994541605649139,0.0,0.5996724963389483,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,
4,55,179.071498262024,179.07138294017102,179.07136779314908,3535707.660323315,84.99535631834641,1071342.6239794781,18.098052508851925,-1,0.08458650943135113,0.998702599215848,0.0,0.5992215595295088,5.0,0.3,1.2,O3,de-protonated,,0.0,,C10 H12 O3,10.0,12.0,3.0,,,,
5,58,185.0820486226295,185.0819296953582,185.08193247717907,2801708.4715474728,71.59960106489538,870359.0864259957,14.605170268283569,-1,-0.015030212924824917,0.9999590102571867,0.0,0.599975406154312,3.0,0.4444444444444444,1.5555555555555556,O4,de-protonated,,0.0,,C9 H14 O4,9.0,14.0,4.0,,,,
6,64,187.09770282796174,187.09758269264705,187.0975825416391,12425809.386488954,32.92520325667307,934588.5989897711,63.99253520201693,-1,0.0008071079848146135,0.9999998818001051,0.0,0.599999929080063,2.0,0.4444444444444444,1.7777777777777777,O4,de-protonated,,0.0,,C9 H16 O4,9.0,16.0,4.0,,,,
7,70,189.0769863924004,189.07686507135026,189.07684709674908,1810771.921840626,33.61958824284393,1125356.6887819108,9.53603982020236,-1,0.09506505663774649,0.9983615257611396,0.0,0.5990169154566837,2.0,0.625,1.75,O5,de-protonated,,0.0,,C8 H14 O5,8.0,14.0,5.0,,,,
8,80,193.0871478061727,193.0870240842918,193.08701785760908,5680984.32738008,81.49643551800636,1060319.1627209801,29.58738329716822,-1,0.032248065134706606,0.9998113224714383,0.0,0.599886793482863,5.0,0.2727272727272727,1.2727272727272727,O3,de-protonated,,0.0,,C11 H14 O3,11.0,14.0,3.0,,,,
9,89,197.0820505854228,197.08192447390863,197.08193247717907,1886955.7921323813,58.38905567157269,1063290.7789777557,9.672194150419417,-1,-0.04060884900451806,0.999700821614017,0.0,0.5998204929684101,4.0,0.4,1.4,O4,de-protonated,,0.0,,C10 H14 O4,10.0,14.0,4.0,,,,
10,95,199.00714458972155,199.0070173274077,199.0070534581991,2140112.0276784915,99.08559707715123,830426.6974732194,11.010172280052421,-1,-0.1815553306199878,0.9940368774715788,0.0,0.5964221264829472,5.0,0.5,1.0,S1 O4,de-protonated,,0.0,,C8 H8 O4 S1,8.0,8.0,4.0,,,1.0,
11,96,199.09771980660588,199.09759249015897,199.0975825416391,5912748.4588307245,47.67606055538653,979738.868784672,30.215787898170024,-1,0.049968059619654386,0.999547060261303,0.0,0.5997282361567818,3.0,0.4,1.6,O4,de-protonated,,0.0,,C10 H16 O4,10.0,16.0,4.0,,,,
12,97,199.13408000201838,199.1339526638408,199.13396805098907,1622777.1169476996,57.41119720024381,1070534.0125654421,8.431095063440855,-1,-0.0772703342240165,0.9989172101432977,0.0,0.5993503260859786,2.0,0.2727272727272727,1.8181818181818181,O3,de-protonated,,0.0,,C11 H20 O3,11.0,20.0,3.0,,,,
13,104,201.07695800218414,201.07682950309226,201.07684709674908,3549275.6135455985,64.88456332605276,1016309.4584184509,18.328467529219253,-1,-0.08749717869171526,0.9986118374706467,0.0,0.599167102482388,3.0,0.5555555555555556,1.5555555555555556,O5,de-protonated,,0.0,,C9 H14 O5,9.0,14.0,5.0,,,,
14,105,201.11334848286532,201.11321996203395,201.11323260609907,3243825.4221991217,74.51558089503783,908662.7871121045,16.66843204157282,-1,-0.06287037883617466,0.9992830477169167,0.0,0.59956982863015,2.0,0.4,1.8,O4,de-protonated,,0.0,,C10 H18 O4,10.0,18.0,4.0,,,,
15,112,203.09263314736756,203.09250344437802,203.09249716120908,2734140.6195774437,36.26834498846539,1033419.4316041704,13.940108732223328,-1,0.030937474457107688,0.9998263455837776,0.0,0.5998958073502665,2.0,0.5555555555555556,1.7777777777777777,O5,de-protonated,,0.0,,C9 H16 O5,9.0,16.0,5.0,,,,
16,125,207.1028025375969,207.10267044102096,207.1026679220691,4142451.24327778,117.51027061355269,951275.1888232947,21.26102233389433,-1,0.012162817113979691,0.9999731579084938,0.0,0.5999838947450963,5.0,0.25,1.3333333333333333,O3,de-protonated,,0.0,,C12 H16 O3,12.0,16.0,3.0,,,,
17,140,211.0977154750519,211.0975809960582,211.0975825416391,1631325.3945210823,51.15498011074565,917141.4770864953,8.383964718365721,-1,-0.007321641810281586,0.9999902732294076,0.0,0.5999941639376445,4.0,0.36363636363636365,1.4545454545454546,O4,de-protonated,,0.0,,C11 H16 O4,11.0,16.0,4.0,,,,
18,141,211.13409128566104,211.1339567849836,211.13396805098907,2706335.49576885,36.82315262829252,960531.6196686762,13.856321452089754,-1,-0.053359511793902796,0.9994835059252208,0.0,0.5996901035551325,3.0,0.25,1.6666666666666667,O3,de-protonated,,0.0,,C12 H20 O3,12.0,20.0,3.0,,,,
19,147,213.0769938111972,213.07685815259794,213.07684709674908,2129619.552202806,74.198832326275,891671.7063095781,11.054684272623383,-1,0.05188667379526271,0.999511618259766,0.0,0.5997069709558596,4.0,0.5,1.4,O5,de-protonated,,0.0,,C10 H14 O5,10.0,14.0,5.0,,,,
20,151,215.09264415806274,215.09250729870024,215.09249716120908,5236696.325633873,133.67137411705647,960623.4912130751,27.084238303177706,-1,0.04713084506994297,0.9995970262445921,0.0,0.5997582157467553,3.0,0.5,1.6,O5,de-protonated,,0.0,,C10 H16 O5,10.0,16.0,5.0,,,,
21,152,215.1290347873372,215.12889790630092,215.12888267055905,3310031.3603728274,52.03436755772647,946045.5030962864,17.485358022875165,-1,0.07082146144566122,0.9990903255665541,0.0,0.5994541953399324,2.0,0.36363636363636365,1.8181818181818181,O4,de-protonated,,0.0,,C11 H20 O4,11.0,20.0,4.0,,,,
22,156,217.07188656620943,217.07174852828257,217.0717617163191,1987871.9771453834,39.703199809403586,844513.3269505769,10.193246298750077,-1,-0.060754270452163396,0.9993304823598848,0.0,0.5995982894159309,3.0,0.6666666666666666,1.5555555555555556,O6,de-protonated,,0.0,,C9 H14 O6,9.0,14.0,6.0,,,,
23,157,217.10829902191165,217.1081609623073,217.1081472256691,3856151.8205001024,68.43371675659594,972639.3650136542,19.852348686648625,-1,0.06327094761146998,0.9992738860427216,0.0,0.5995643316256329,2.0,0.5,1.8,O5,de-protonated,,0.0,,C10 H18 O5,10.0,18.0,5.0,,,,
24,167,221.08206622905365,221.08192580476467,221.08193247717907,4090083.625201518,61.020290253083736,848268.0937899839,20.988713673460218,-1,-0.03018073130532059,0.9998347363055887,0.0,0.5999008417833532,6.0,0.3333333333333333,1.1666666666666667,O4,de-protonated,,0.0,,C12 H14 O4,12.0,14.0,4.0,,,,
25,168,221.15480677638507,221.1546663088291,221.15470349587906,1758456.7143458177,44.01335908962186,891852.6178123562,9.156378707097103,-1,-0.1681494871296145,0.9948828121206612,0.0,0.5969296872723967,4.0,0.14285714285714285,1.5714285714285714,O2,de-protonated,,0.0,,C14 H22 O2,14.0,22.0,2.0,,,,
26,175,223.17052467285163,223.1703830065923,223.17035356033907,2115991.0650476804,219.5408290866284,747596.4029493993,10.85830783481032,-1,0.13194518336625793,0.9968460475863177,0.0,0.5981076285517906,3.0,0.14285714285714285,1.7142857142857142,O2,de-protonated,,0.0,,C14 H24 O2,14.0,24.0,2.0,,,,
27,184,225.14977171676608,225.1496288740017,225.14961811544907,2971089.3690203084,87.56400864333662,816963.9253634424,15.615854334894802,-1,0.04778401457533912,0.9995857818403207,0.0,0.5997514691041924,3.0,0.23076923076923078,1.6923076923076923,O3,de-protonated,,0.0,,C13 H22 O3,13.0,22.0,3.0,,,,
28,191,227.0926382057978,227.09249420864518,227.09249716120908,4634261.377325271,61.0389424671584,967974.9304883733,24.036475988318962,-1,-0.013001591600338185,0.9999693281333065,0.0,0.5999815968799839,4.0,0.45454545454545453,1.4545454545454546,O5,de-protonated,,0.0,,C11 H16 O5,11.0,16.0,5.0,,,,
29,192,227.12902540718756,227.12888138841944,227.12888267055905,4995448.258988238,55.47372172645178,889626.6633058157,25.586540670790075,-1,-0.005644987074533173,0.9999942179948201,0.0,0.5999965307968921,3.0,0.3333333333333333,1.6666666666666667,O4,de-protonated,,0.0,,C12 H20 O4,12.0,20.0,4.0,,,,
30,198,229.07190117936278,229.0717560066969,229.0717617163191,2031858.8140854996,73.10463661859762,881476.539181415,10.376530974042272,-1,-0.024925037281033527,0.9998872799991415,0.0,0.5999323679994849,4.0,0.6,1.4,O6,de-protonated,,0.0,,C10 H14 O6,10.0,14.0,6.0,,,,
31,199,229.1082870705591,229.10814187628782,229.1081472256691,4784816.180453694,59.21700741265404,798476.9856473142,24.64917047429572,-1,-0.023348716898079283,0.9999010858582164,0.0,0.5999406515149298,3.0,0.45454545454545453,1.6363636363636365,O5,de-protonated,,0.0,,C11 H18 O5,11.0,18.0,5.0,,,,
32,203,231.08756914113482,231.08742277185348,231.0874117807791,4386839.22255139,42.770790586278665,829318.129587907,23.109579201841303,-1,0.04756241071496837,0.9995896141135698,0.0,0.5997537684681419,3.0,0.6,1.6,O6,de-protonated,,0.0,,C10 H16 O6,10.0,16.0,6.0,,,,
33,204,231.12393858388583,231.12379219301835,231.12379729012906,3442725.119521676,48.170178496963494,818810.700710841,17.88858430851799,-1,-0.022053595412874948,0.9999117543165397,0.0,0.5999470525899238,2.0,0.45454545454545453,1.8181818181818181,O5,de-protonated,,0.0,,C11 H20 O5,11.0,20.0,5.0,,,,
34,208,233.15485231108946,233.15470471509528,233.15470349587906,26525413.958028343,93.88618030618379,881188.7211558574,139.7152896227342,-1,0.00522921561394903,0.9998514644464158,0.9739412043308755,0.9894873604001997,5.0,0.13333333333333333,1.4666666666666666,O2,de-protonated,,0.0,,C15 H22 O2,15.0,22.0,2.0,,,,
35,211,234.15821591799826,234.15806772681313,234.15805833094907,5266231.7281129835,80.38913115367389,924465.3228490625,27.094711713194403,-1,0.04012616145593245,0.9997078905396781,0.9739412043308755,0.9894012160561572,5.0,0.13333333333333333,1.4666666666666666,13C1 O2,de-protonated,,1.0,208.0,C14 H22 O2 13C1,14.0,22.0,2.0,,,,1.0
